	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
83	Ocean	102	US	1	39.8895449	-74.28089251	New Jersey	0	03/22/2020
2112	Ocean	144	US	1	39.8895449	-74.28089251	New Jersey	0	03/23/2020
2112	Ocean	180	US	1	39.8895449	-74.28089251	New Jersey	0	03/24/2020
2112	Ocean	222	US	1	39.8895449	-74.28089251	New Jersey	0	03/25/2020
2111	Ocean	389	US	1	39.8895449	-74.28089251	New Jersey	0	03/26/2020
2111	Ocean	484	US	1	39.8895449	-74.28089251	New Jersey	0	03/27/2020
2111	Ocean	624	US	4	39.8895449	-74.28089251	New Jersey	0	03/28/2020
2111	Ocean	759	US	6	39.8895449	-74.28089251	New Jersey	0	03/29/2020
2111	Ocean	874	US	6	39.8895449	-74.28089251	New Jersey	0	03/30/2020
1428	Ocean	1022	US	1	39.8895449	-74.28089251	New Jersey	0	03/31/2020
1465	Ocean	1209	US	23	39.8895449	-74.28089251	New Jersey	0	04/01/2020
1522	Ocean	1371	US	38	39.8895449	-74.28089251	New Jersey	0	04/02/2020
1554	Ocean	1685	US	45	39.8895449	-74.28089251	New Jersey	0	04/03/2020
1592	Ocean	2003	US	56	39.8895449	-74.28089251	New Jersey	0	04/04/2020
1644	Ocean	2177	US	62	39.8895449	-74.28089251	New Jersey	0	04/05/2020
1670	Ocean	2374	US	71	39.8895449	-74.28089251	New Jersey	0	04/06/2020
1707	Ocean	2641	US	85	39.8895449	-74.28089251	New Jersey	0	04/07/2020
1722	Ocean	2856	US	101	39.8895449	-74.28089251	New Jersey	0	04/08/2020
1742	Ocean	3093	US	119	39.8895449	-74.28089251	New Jersey	0	04/09/2020
1754	Ocean	3269	US	121	39.8895449	-74.28089251	New Jersey	0	04/10/2020
1772	Ocean	3403	US	132	39.8895449	-74.28089251	New Jersey	0	04/11/2020
1785	Ocean	3554	US	138	39.8895449	-74.28089251	New Jersey	0	04/12/2020
1799	Ocean	3593	US	141	39.8895449	-74.28089251	New Jersey	0	04/13/2020
1806	Ocean	3833	US	149	39.8895449	-74.28089251	New Jersey	0	04/14/2020
1816	Ocean	4016	US	166	39.8895449	-74.28089251	New Jersey	0	04/15/2020
1824	Ocean	4272	US	185	39.8895449	-74.28089251	New Jersey	0	04/16/2020
1826	Ocean	4424	US	201	39.8895449	-74.28089251	New Jersey	0	04/17/2020
1832	Ocean	4548	US	212	39.8895449	-74.28089251	New Jersey	0	04/18/2020
1843	Ocean	4648	US	217	39.8895449	-74.28089251	New Jersey	0	04/19/2020
1850	Ocean	4868	US	222	39.8895449	-74.28089251	New Jersey	0	04/20/2020
1858	Ocean	4868	US	222	39.8895449	-74.28089251	New Jersey	0	04/21/2020
1865	Ocean	5234	US	270	39.8895449	-74.28089251	New Jersey	0	04/22/2020
1876	Ocean	5444	US	286	39.8895449	-74.28089251	New Jersey	0	04/23/2020
1880	Ocean	5612	US	301	39.8895449	-74.28089251	New Jersey	0	04/24/2020
1884	Ocean	5811	US	317	39.8895449	-74.28089251	New Jersey	0	04/25/2020
1890	Ocean	5962	US	322	39.8895449	-74.28089251	New Jersey	0	04/26/2020
1893	Ocean	6024	US	330	39.8895449	-74.28089251	New Jersey	0	04/27/2020
1900	Ocean	6151	US	342	39.8895449	-74.28089251	New Jersey	0	04/28/2020
1903	Ocean	6253	US	367	39.8895449	-74.28089251	New Jersey	0	04/29/2020
1909	Ocean	6375	US	397	39.8895449	-74.28089251	New Jersey	0	04/30/2020
1918	Ocean	6505	US	420	39.8895449	-74.28089251	New Jersey	0	05/01/2020
1922	Ocean	6692	US	426	39.8895449	-74.28089251	New Jersey	0	05/02/2020
1925	Ocean	6871	US	440	39.8895449	-74.28089251	New Jersey	0	05/03/2020
1927	Ocean	6974	US	447	39.8895449	-74.28089251	New Jersey	0	05/04/2020
1933	Ocean	7060	US	469	39.8895449	-74.28089251	New Jersey	0	05/05/2020
1937	Ocean	7125	US	483	39.8895449	-74.28089251	New Jersey	0	05/06/2020
1941	Ocean	7209	US	500	39.8895449	-74.28089251	New Jersey	0	05/07/2020
1946	Ocean	7277	US	516	39.8895449	-74.28089251	New Jersey	0	05/08/2020
1947	Ocean	7366	US	522	39.8895449	-74.28089251	New Jersey	0	05/09/2020
1948	Ocean	7462	US	540	39.8895449	-74.28089251	New Jersey	0	05/10/2020
1948	Ocean	7569	US	547	39.8895449	-74.28089251	New Jersey	0	05/11/2020
1951	Ocean	7633	US	562	39.8895449	-74.28089251	New Jersey	0	05/12/2020
1951	Ocean	7689	US	571	39.8895449	-74.28089251	New Jersey	0	05/13/2020
1952	Ocean	7743	US	595	39.8895449	-74.28089251	New Jersey	0	05/14/2020
1956	Ocean	7830	US	610	39.8895449	-74.28089251	New Jersey	0	05/15/2020
1960	Ocean	7879	US	617	39.8895449	-74.28089251	New Jersey	0	05/16/2020
1962	Ocean	7914	US	626	39.8895449	-74.28089251	New Jersey	0	05/17/2020
1964	Ocean	7995	US	633	39.8895449	-74.28089251	New Jersey	0	05/18/2020
1966	Ocean	8068	US	643	39.8895449	-74.28089251	New Jersey	0	05/19/2020
1972	Ocean	8166	US	656	39.8895449	-74.28089251	New Jersey	0	05/20/2020
1973	Ocean	8215	US	661	39.8895449	-74.28089251	New Jersey	0	05/21/2020
1978	Ocean	8287	US	678	39.8895449	-74.28089251	New Jersey	0	05/22/2020
1980	Ocean	8318	US	686	39.8895449	-74.28089251	New Jersey	0	05/23/2020
1983	Ocean	8374	US	686	39.8895449	-74.28089251	New Jersey	0	05/24/2020
1983	Ocean	8432	US	690	39.8895449	-74.28089251	New Jersey	0	05/25/2020
1984	Ocean	8464	US	692	39.8895449	-74.28089251	New Jersey	0	05/26/2020
1986	Ocean	8516	US	704	39.8895449	-74.28089251	New Jersey	0	05/27/2020
1988	Ocean	8579	US	711	39.8895449	-74.28089251	New Jersey	0	05/28/2020
1991	Ocean	8629	US	721	39.8895449	-74.28089251	New Jersey	0	05/29/2020
1993	Ocean	8702	US	726	39.8895449	-74.28089251	New Jersey	0	05/30/2020
1994	Ocean	8750	US	739	39.8895449	-74.28089251	New Jersey	0	05/31/2020
1996	Ocean	8774	US	740	39.8895449	-74.28089251	New Jersey	0	06/01/2020
2000	Ocean	8824	US	743	39.8895449	-74.28089251	New Jersey	0	06/02/2020
2001	Ocean	8862	US	755	39.8895449	-74.28089251	New Jersey	0	06/03/2020
2002	Ocean	8913	US	763	39.8895449	-74.28089251	New Jersey	0	06/04/2020
2004	Ocean	8967	US	765	39.8895449	-74.28089251	New Jersey	0	06/05/2020
2005	Ocean	8992	US	767	39.8895449	-74.28089251	New Jersey	0	06/06/2020
2005	Ocean	9039	US	774	39.8895449	-74.28089251	New Jersey	0	06/07/2020
2005	Ocean	9058	US	781	39.8895449	-74.28089251	New Jersey	0	06/08/2020
2007	Ocean	9077	US	787	39.8895449	-74.28089251	New Jersey	0	06/09/2020
2009	Ocean	9118	US	792	39.8895449	-74.28089251	New Jersey	0	06/10/2020
2010	Ocean	9186	US	803	39.8895449	-74.28089251	New Jersey	0	06/11/2020
2020	Ocean	9221	US	807	39.8895449	-74.28089251	New Jersey	0	06/12/2020
2022	Ocean	9245	US	813	39.8895449	-74.28089251	New Jersey	0	06/13/2020
2022	Ocean	9268	US	817	39.8895449	-74.28089251	New Jersey	0	06/14/2020
2025	Ocean	9282	US	820	39.8895449	-74.28089251	New Jersey	0	06/15/2020
2023	Ocean	9303	US	826	39.8895449	-74.28089251	New Jersey	0	06/16/2020
2025	Ocean	9332	US	828	39.8895449	-74.28089251	New Jersey	0	06/17/2020
2025	Ocean	9378	US	835	39.8895449	-74.28089251	New Jersey	0	06/18/2020
2025	Ocean	9410	US	842	39.8895449	-74.28089251	New Jersey	0	06/19/2020
2029	Ocean	9443	US	845	39.8895449	-74.28089251	New Jersey	0	06/20/2020
2029	Ocean	9455	US	847	39.8895449	-74.28089251	New Jersey	0	06/21/2020
2031	Ocean	9473	US	850	39.8895449	-74.28089251	New Jersey	0	06/22/2020
2034	Ocean	9501	US	860	39.8895449	-74.28089251	New Jersey	0	06/23/2020
2042	Ocean	9522	US	866	39.8895449	-74.28089251	New Jersey	0	06/24/2020
2047	Ocean	9546	US	936	39.8895449	-74.28089251	New Jersey	0	06/25/2020
2048	Ocean	9577	US	940	39.8895449	-74.28089251	New Jersey	0	06/26/2020
2049	Ocean	9589	US	941	39.8895449	-74.28089251	New Jersey	0	06/27/2020
2049	Ocean	9615	US	944	39.8895449	-74.28089251	New Jersey	0	06/28/2020
2050	Ocean	9621	US	946	39.8895449	-74.28089251	New Jersey	0	06/29/2020
2051	Ocean	9664	US	955	39.8895449	-74.28089251	New Jersey	0	06/30/2020
2051	Ocean	9678	US	959	39.8895449	-74.28089251	New Jersey	0	07/01/2020
2053	Ocean	9684	US	961	39.8895449	-74.28089251	New Jersey	0	07/02/2020
2056	Ocean	9723	US	967	39.8895449	-74.28089251	New Jersey	0	07/03/2020
2056	Ocean	9739	US	969	39.8895449	-74.28089251	New Jersey	0	07/04/2020
2056	Ocean	9765	US	972	39.8895449	-74.28089251	New Jersey	0	07/05/2020
2059	Ocean	9777	US	974	39.8895449	-74.28089251	New Jersey	0	07/06/2020
2059	Ocean	9802	US	982	39.8895449	-74.28089251	New Jersey	0	07/07/2020
2062	Ocean	9818	US	986	39.8895449	-74.28089251	New Jersey	0	07/08/2020
2061	Ocean	9841	US	992	39.8895449	-74.28089251	New Jersey	0	07/09/2020
2064	Ocean	9851	US	995	39.8895449	-74.28089251	New Jersey	0	07/10/2020
2064	Ocean	9875	US	997	39.8895449	-74.28089251	New Jersey	0	07/11/2020
2066	Ocean	9891	US	997	39.8895449	-74.28089251	New Jersey	0	07/12/2020
2068	Ocean	9907	US	997	39.8895449	-74.28089251	New Jersey	0	07/13/2020
2071	Ocean	9949	US	998	39.8895449	-74.28089251	New Jersey	0	07/14/2020
2071	Ocean	9973	US	1000	39.8895449	-74.28089251	New Jersey	0	07/15/2020
2073	Ocean	9995	US	1001	39.8895449	-74.28089251	New Jersey	0	07/16/2020
2073	Ocean	10018	US	1005	39.8895449	-74.28089251	New Jersey	0	07/17/2020
2127	Ocean	10042	US	1006	39.8895449	-74.28089251	New Jersey	0	07/18/2020
2128	Ocean	10050	US	1008	39.8895449	-74.28089251	New Jersey	0	07/19/2020
2075	Ocean	10063	US	1010	39.8895449	-74.28089251	New Jersey	0	07/20/2020
2131	Ocean	10102	US	1013	39.8895449	-74.28089251	New Jersey	0	07/21/2020
2132	Ocean	10173	US	1011	39.8895449	-74.28089251	New Jersey	0	07/22/2020
2133	Ocean	10198	US	1012	39.8895449	-74.28089251	New Jersey	0	07/23/2020
2132	Ocean	10243	US	1014	39.8895449	-74.28089251	New Jersey	0	07/24/2020
2133	Ocean	10300	US	1011	39.8895449	-74.28089251	New Jersey	0	07/25/2020
2134	Ocean	10338	US	1011	39.8895449	-74.28089251	New Jersey	0	07/26/2020
2134	Ocean	10371	US	1012	39.8895449	-74.28089251	New Jersey	0	07/27/2020
2134	Ocean	10428	US	1012	39.8895449	-74.28089251	New Jersey	0	07/28/2020
2137	Ocean	10470	US	1010	39.8895449	-74.28089251	New Jersey	0	07/29/2020
2137	Ocean	10498	US	1014	39.8895449	-74.28089251	New Jersey	0	07/30/2020
2138	Ocean	10560	US	1014	39.8895449	-74.28089251	New Jersey	0	07/31/2020
2138	Ocean	10585	US	1015	39.8895449	-74.28089251	New Jersey	0	08/01/2020
2138	Ocean	10606	US	1016	39.8895449	-74.28089251	New Jersey	0	08/02/2020
2138	Ocean	10619	US	1016	39.8895449	-74.28089251	New Jersey	0	08/03/2020
2138	Ocean	10652	US	1017	39.8895449	-74.28089251	New Jersey	0	08/04/2020
2141	Ocean	10676	US	1016	39.8895449	-74.28089251	New Jersey	0	08/05/2020
2141	Ocean	10713	US	1016	39.8895449	-74.28089251	New Jersey	0	08/06/2020
2141	Ocean	10735	US	1016	39.8895449	-74.28089251	New Jersey	0	08/07/2020
2141	Ocean	10759	US	1018	39.8895449	-74.28089251	New Jersey	0	08/08/2020
2141	Ocean	10772	US	1018	39.8895449	-74.28089251	New Jersey	0	08/09/2020
2141	Ocean	10781	US	1018	39.8895449	-74.28089251	New Jersey	0	08/10/2020
2499	Ocean	10822	US	1020	39.8895449	-74.28089251	New Jersey	0	08/11/2020
2453	Ocean	10836	US	1020	39.8895449	-74.28089251	New Jersey	0	08/12/2020
2454	Ocean	10854	US	1020	39.8895449	-74.28089251	New Jersey	0	08/13/2020
2454	Ocean	10900	US	1020	39.8895449	-74.28089251	New Jersey	0	08/14/2020
2454	Ocean	10938	US	1020	39.8895449	-74.28089251	New Jersey	0	08/15/2020
2454	Ocean	10953	US	1020	39.8895449	-74.28089251	New Jersey	0	08/16/2020
2456	Ocean	10965	US	1020	39.8895449	-74.28089251	New Jersey	0	08/17/2020
2456	Ocean	11010	US	1020	39.8895449	-74.28089251	New Jersey	0	08/18/2020
2458	Ocean	11038	US	1023	39.8895449	-74.28089251	New Jersey	0	08/19/2020
2458	Ocean	11049	US	1024	39.8895449	-74.28089251	New Jersey	0	08/20/2020
