	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
513	Tennessee	US	03/22/2020	36.12684348	-84.19965764	1	0	0	Anderson
62	Tennessee	US	03/23/2020	36.12684348	-84.19965764	1	0	0	Anderson
62	Tennessee	US	03/24/2020	36.12684348	-84.19965764	1	0	0	Anderson
62	Tennessee	US	03/25/2020	36.12684348	-84.19965764	3	0	0	Anderson
62	Tennessee	US	03/26/2020	36.12684348	-84.19965764	3	0	0	Anderson
62	Tennessee	US	03/27/2020	36.12684348	-84.19965764	4	0	0	Anderson
62	Tennessee	US	03/28/2020	36.12684348	-84.19965764	5	0	0	Anderson
62	Tennessee	US	03/29/2020	36.12684348	-84.19965764	6	0	0	Anderson
62	Tennessee	US	03/30/2020	36.12684348	-84.19965764	6	0	0	Anderson
43	Tennessee	US	03/31/2020	36.12684348	-84.19965764	10	0	0	Anderson
45	Tennessee	US	04/01/2020	36.12684348	-84.19965764	9	0	0	Anderson
49	Tennessee	US	04/02/2020	36.12684348	-84.19965764	9	0	0	Anderson
48	Tennessee	US	04/03/2020	36.12684348	-84.19965764	9	0	0	Anderson
50	Tennessee	US	04/04/2020	36.12684348	-84.19965764	9	0	0	Anderson
51	Tennessee	US	04/05/2020	36.12684348	-84.19965764	9	0	0	Anderson
51	Tennessee	US	04/06/2020	36.12684348	-84.19965764	9	0	0	Anderson
51	Tennessee	US	04/07/2020	36.12684348	-84.19965764	10	0	0	Anderson
51	Tennessee	US	04/08/2020	36.12684348	-84.19965764	10	1	0	Anderson
51	Tennessee	US	04/09/2020	36.12684348	-84.19965764	10	1	0	Anderson
51	Tennessee	US	04/10/2020	36.12684348	-84.19965764	10	1	0	Anderson
52	Tennessee	US	04/11/2020	36.12684348	-84.19965764	10	1	0	Anderson
52	Tennessee	US	04/12/2020	36.12684348	-84.19965764	12	1	0	Anderson
53	Tennessee	US	04/13/2020	36.12684348	-84.19965764	13	1	0	Anderson
53	Tennessee	US	04/14/2020	36.12684348	-84.19965764	13	1	0	Anderson
54	Tennessee	US	04/15/2020	36.12684348	-84.19965764	13	1	0	Anderson
54	Tennessee	US	04/16/2020	36.12684348	-84.19965764	13	1	0	Anderson
56	Tennessee	US	04/17/2020	36.12684348	-84.19965764	13	1	0	Anderson
56	Tennessee	US	04/18/2020	36.12684348	-84.19965764	13	1	0	Anderson
56	Tennessee	US	04/19/2020	36.12684348	-84.19965764	14	1	0	Anderson
56	Tennessee	US	04/20/2020	36.12684348	-84.19965764	19	1	0	Anderson
56	Tennessee	US	04/21/2020	36.12684348	-84.19965764	20	1	0	Anderson
56	Tennessee	US	04/22/2020	36.12684348	-84.19965764	21	1	0	Anderson
56	Tennessee	US	04/23/2020	36.12684348	-84.19965764	21	1	0	Anderson
56	Tennessee	US	04/24/2020	36.12684348	-84.19965764	22	1	0	Anderson
56	Tennessee	US	04/25/2020	36.12684348	-84.19965764	22	1	0	Anderson
56	Tennessee	US	04/26/2020	36.12684348	-84.19965764	22	1	0	Anderson
56	Tennessee	US	04/27/2020	36.12684348	-84.19965764	22	1	0	Anderson
56	Tennessee	US	04/28/2020	36.12684348	-84.19965764	22	1	0	Anderson
56	Tennessee	US	04/29/2020	36.12684348	-84.19965764	26	1	0	Anderson
56	Tennessee	US	04/30/2020	36.12684348	-84.19965764	26	1	0	Anderson
56	Tennessee	US	05/01/2020	36.12684348	-84.19965764	26	1	0	Anderson
56	Tennessee	US	05/02/2020	36.12684348	-84.19965764	26	1	0	Anderson
56	Tennessee	US	05/03/2020	36.12684348	-84.19965764	27	1	0	Anderson
56	Tennessee	US	05/04/2020	36.12684348	-84.19965764	27	1	0	Anderson
56	Tennessee	US	05/05/2020	36.12684348	-84.19965764	28	1	0	Anderson
56	Tennessee	US	05/06/2020	36.12684348	-84.19965764	30	1	0	Anderson
56	Tennessee	US	05/07/2020	36.12684348	-84.19965764	30	1	0	Anderson
56	Tennessee	US	05/08/2020	36.12684348	-84.19965764	30	1	0	Anderson
