	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
263	Louisiana	US	03/22/2020	30.46058217	-91.30989571	3	0	0	West Baton Rouge
3047	Louisiana	US	03/23/2020	30.46058217	-91.30989571	5	1	0	West Baton Rouge
3046	Louisiana	US	03/24/2020	30.46058217	-91.30989571	5	1	0	West Baton Rouge
3046	Louisiana	US	03/25/2020	30.46058217	-91.30989571	7	1	0	West Baton Rouge
3043	Louisiana	US	03/26/2020	30.46058217	-91.30989571	8	1	0	West Baton Rouge
3050	Louisiana	US	03/27/2020	30.46058217	-91.30989571	11	1	0	West Baton Rouge
3047	Louisiana	US	03/28/2020	30.46058217	-91.30989571	12	1	0	West Baton Rouge
3051	Louisiana	US	03/29/2020	30.46058217	-91.30989571	12	1	0	West Baton Rouge
3055	Louisiana	US	03/30/2020	30.46058217	-91.30989571	12	1	0	West Baton Rouge
2084	Louisiana	US	03/31/2020	30.46058217	-91.30989571	13	1	0	West Baton Rouge
2132	Louisiana	US	04/01/2020	30.46058217	-91.30989571	14	1	0	West Baton Rouge
2212	Louisiana	US	04/02/2020	30.46058217	-91.30989571	19	1	0	West Baton Rouge
2263	Louisiana	US	04/03/2020	30.46058217	-91.30989571	23	3	0	West Baton Rouge
2317	Louisiana	US	04/04/2020	30.46058217	-91.30989571	40	4	0	West Baton Rouge
2396	Louisiana	US	04/05/2020	30.46058217	-91.30989571	40	7	0	West Baton Rouge
2437	Louisiana	US	04/06/2020	30.46058217	-91.30989571	45	7	0	West Baton Rouge
2485	Louisiana	US	04/07/2020	30.46058217	-91.30989571	52	7	0	West Baton Rouge
2510	Louisiana	US	04/08/2020	30.46058217	-91.30989571	54	9	0	West Baton Rouge
2537	Louisiana	US	04/09/2020	30.46058217	-91.30989571	57	9	0	West Baton Rouge
2565	Louisiana	US	04/10/2020	30.46058217	-91.30989571	61	9	0	West Baton Rouge
2589	Louisiana	US	04/11/2020	30.46058217	-91.30989571	66	9	0	West Baton Rouge
2613	Louisiana	US	04/12/2020	30.46058217	-91.30989571	68	9	0	West Baton Rouge
2627	Louisiana	US	04/13/2020	30.46058217	-91.30989571	72	9	0	West Baton Rouge
2638	Louisiana	US	04/14/2020	30.46058217	-91.30989571	76	9	0	West Baton Rouge
2651	Louisiana	US	04/15/2020	30.46058217	-91.30989571	78	9	0	West Baton Rouge
2666	Louisiana	US	04/16/2020	30.46058217	-91.30989571	81	9	0	West Baton Rouge
2668	Louisiana	US	04/17/2020	30.46058217	-91.30989571	83	9	0	West Baton Rouge
2676	Louisiana	US	04/18/2020	30.46058217	-91.30989571	86	10	0	West Baton Rouge
2693	Louisiana	US	04/19/2020	30.46058217	-91.30989571	88	10	0	West Baton Rouge
2702	Louisiana	US	04/20/2020	30.46058217	-91.30989571	90	10	0	West Baton Rouge
2711	Louisiana	US	04/21/2020	30.46058217	-91.30989571	90	12	0	West Baton Rouge
2719	Louisiana	US	04/22/2020	30.46058217	-91.30989571	90	12	0	West Baton Rouge
2739	Louisiana	US	04/23/2020	30.46058217	-91.30989571	90	12	0	West Baton Rouge
2747	Louisiana	US	04/24/2020	30.46058217	-91.30989571	93	13	0	West Baton Rouge
2753	Louisiana	US	04/25/2020	30.46058217	-91.30989571	92	15	0	West Baton Rouge
2761	Louisiana	US	04/26/2020	30.46058217	-91.30989571	91	15	0	West Baton Rouge
2769	Louisiana	US	04/27/2020	30.46058217	-91.30989571	94	16	0	West Baton Rouge
2780	Louisiana	US	04/28/2020	30.46058217	-91.30989571	94	16	0	West Baton Rouge
2785	Louisiana	US	04/29/2020	30.46058217	-91.30989571	96	16	0	West Baton Rouge
2792	Louisiana	US	04/30/2020	30.46058217	-91.30989571	98	18	0	West Baton Rouge
2803	Louisiana	US	05/01/2020	30.46058217	-91.30989571	108	19	0	West Baton Rouge
2807	Louisiana	US	05/02/2020	30.46058217	-91.30989571	110	19	0	West Baton Rouge
2812	Louisiana	US	05/03/2020	30.46058217	-91.30989571	110	22	0	West Baton Rouge
2815	Louisiana	US	05/04/2020	30.46058217	-91.30989571	111	22	0	West Baton Rouge
2823	Louisiana	US	05/05/2020	30.46058217	-91.30989571	115	23	0	West Baton Rouge
2829	Louisiana	US	05/06/2020	30.46058217	-91.30989571	118	24	0	West Baton Rouge
2836	Louisiana	US	05/07/2020	30.46058217	-91.30989571	118	24	0	West Baton Rouge
2843	Louisiana	US	05/08/2020	30.46058217	-91.30989571	119	24	0	West Baton Rouge
2845	Louisiana	US	05/09/2020	30.46058217	-91.30989571	122	25	0	West Baton Rouge
2847	Louisiana	US	05/10/2020	30.46058217	-91.30989571	123	26	0	West Baton Rouge
2847	Louisiana	US	05/11/2020	30.46058217	-91.30989571	123	29	0	West Baton Rouge
2850	Louisiana	US	05/12/2020	30.46058217	-91.30989571	124	28	0	West Baton Rouge
2851	Louisiana	US	05/13/2020	30.46058217	-91.30989571	124	30	0	West Baton Rouge
2853	Louisiana	US	05/14/2020	30.46058217	-91.30989571	150	30	0	West Baton Rouge
2858	Louisiana	US	05/15/2020	30.46058217	-91.30989571	150	30	0	West Baton Rouge
2862	Louisiana	US	05/16/2020	30.46058217	-91.30989571	148	30	0	West Baton Rouge
2865	Louisiana	US	05/17/2020	30.46058217	-91.30989571	148	30	0	West Baton Rouge
2867	Louisiana	US	05/18/2020	30.46058217	-91.30989571	148	30	0	West Baton Rouge
2871	Louisiana	US	05/19/2020	30.46058217	-91.30989571	148	30	0	West Baton Rouge
2877	Louisiana	US	05/20/2020	30.46058217	-91.30989571	149	30	0	West Baton Rouge
2879	Louisiana	US	05/21/2020	30.46058217	-91.30989571	152	30	0	West Baton Rouge
2886	Louisiana	US	05/22/2020	30.46058217	-91.30989571	154	30	0	West Baton Rouge
2888	Louisiana	US	05/23/2020	30.46058217	-91.30989571	154	30	0	West Baton Rouge
2892	Louisiana	US	05/24/2020	30.46058217	-91.30989571	154	30	0	West Baton Rouge
2893	Louisiana	US	05/25/2020	30.46058217	-91.30989571	156	30	0	West Baton Rouge
2894	Louisiana	US	05/26/2020	30.46058217	-91.30989571	157	30	0	West Baton Rouge
2897	Louisiana	US	05/27/2020	30.46058217	-91.30989571	158	30	0	West Baton Rouge
2900	Louisiana	US	05/28/2020	30.46058217	-91.30989571	159	31	0	West Baton Rouge
2903	Louisiana	US	05/29/2020	30.46058217	-91.30989571	159	31	0	West Baton Rouge
2905	Louisiana	US	05/30/2020	30.46058217	-91.30989571	161	30	0	West Baton Rouge
2906	Louisiana	US	05/31/2020	30.46058217	-91.30989571	166	30	0	West Baton Rouge
2908	Louisiana	US	06/01/2020	30.46058217	-91.30989571	175	30	0	West Baton Rouge
2913	Louisiana	US	06/02/2020	30.46058217	-91.30989571	176	31	0	West Baton Rouge
2915	Louisiana	US	06/03/2020	30.46058217	-91.30989571	176	31	0	West Baton Rouge
2916	Louisiana	US	06/04/2020	30.46058217	-91.30989571	180	31	0	West Baton Rouge
2920	Louisiana	US	06/05/2020	30.46058217	-91.30989571	180	31	0	West Baton Rouge
2922	Louisiana	US	06/06/2020	30.46058217	-91.30989571	183	31	0	West Baton Rouge
2922	Louisiana	US	06/07/2020	30.46058217	-91.30989571	185	31	0	West Baton Rouge
2922	Louisiana	US	06/08/2020	30.46058217	-91.30989571	186	31	0	West Baton Rouge
2924	Louisiana	US	06/09/2020	30.46058217	-91.30989571	192	31	0	West Baton Rouge
2926	Louisiana	US	06/10/2020	30.46058217	-91.30989571	195	31	0	West Baton Rouge
2928	Louisiana	US	06/11/2020	30.46058217	-91.30989571	197	31	0	West Baton Rouge
2943	Louisiana	US	06/12/2020	30.46058217	-91.30989571	200	31	0	West Baton Rouge
2946	Louisiana	US	06/13/2020	30.46058217	-91.30989571	202	31	0	West Baton Rouge
2946	Louisiana	US	06/14/2020	30.46058217	-91.30989571	204	31	0	West Baton Rouge
2951	Louisiana	US	06/15/2020	30.46058217	-91.30989571	204	31	0	West Baton Rouge
2949	Louisiana	US	06/16/2020	30.46058217	-91.30989571	204	31	0	West Baton Rouge
2951	Louisiana	US	06/17/2020	30.46058217	-91.30989571	205	30	0	West Baton Rouge
2952	Louisiana	US	06/18/2020	30.46058217	-91.30989571	205	30	0	West Baton Rouge
2953	Louisiana	US	06/19/2020	30.46058217	-91.30989571	231	30	0	West Baton Rouge
2957	Louisiana	US	06/20/2020	30.46058217	-91.30989571	232	30	0	West Baton Rouge
2957	Louisiana	US	06/21/2020	30.46058217	-91.30989571	234	30	0	West Baton Rouge
2960	Louisiana	US	06/22/2020	30.46058217	-91.30989571	234	30	0	West Baton Rouge
2965	Louisiana	US	06/23/2020	30.46058217	-91.30989571	234	30	0	West Baton Rouge
2977	Louisiana	US	06/24/2020	30.46058217	-91.30989571	239	30	0	West Baton Rouge
2984	Louisiana	US	06/25/2020	30.46058217	-91.30989571	243	30	0	West Baton Rouge
2985	Louisiana	US	06/26/2020	30.46058217	-91.30989571	243	30	0	West Baton Rouge
2986	Louisiana	US	06/27/2020	30.46058217	-91.30989571	243	30	0	West Baton Rouge
2986	Louisiana	US	06/28/2020	30.46058217	-91.30989571	248	30	0	West Baton Rouge
2988	Louisiana	US	06/29/2020	30.46058217	-91.30989571	252	30	0	West Baton Rouge
2990	Louisiana	US	06/30/2020	30.46058217	-91.30989571	258	30	0	West Baton Rouge
2992	Louisiana	US	07/01/2020	30.46058217	-91.30989571	264	30	0	West Baton Rouge
2995	Louisiana	US	07/02/2020	30.46058217	-91.30989571	278	30	0	West Baton Rouge
3000	Louisiana	US	07/03/2020	30.46058217	-91.30989571	290	30	0	West Baton Rouge
3001	Louisiana	US	07/04/2020	30.46058217	-91.30989571	290	30	0	West Baton Rouge
3002	Louisiana	US	07/05/2020	30.46058217	-91.30989571	309	30	0	West Baton Rouge
3005	Louisiana	US	07/06/2020	30.46058217	-91.30989571	310	30	0	West Baton Rouge
3006	Louisiana	US	07/07/2020	30.46058217	-91.30989571	326	30	0	West Baton Rouge
3009	Louisiana	US	07/08/2020	30.46058217	-91.30989571	336	31	0	West Baton Rouge
3008	Louisiana	US	07/09/2020	30.46058217	-91.30989571	342	31	0	West Baton Rouge
3012	Louisiana	US	07/10/2020	30.46058217	-91.30989571	356	31	0	West Baton Rouge
3013	Louisiana	US	07/11/2020	30.46058217	-91.30989571	371	31	0	West Baton Rouge
3015	Louisiana	US	07/12/2020	30.46058217	-91.30989571	378	31	0	West Baton Rouge
3016	Louisiana	US	07/13/2020	30.46058217	-91.30989571	392	31	0	West Baton Rouge
3022	Louisiana	US	07/14/2020	30.46058217	-91.30989571	415	32	0	West Baton Rouge
3023	Louisiana	US	07/15/2020	30.46058217	-91.30989571	427	32	0	West Baton Rouge
3025	Louisiana	US	07/16/2020	30.46058217	-91.30989571	439	32	0	West Baton Rouge
3025	Louisiana	US	07/17/2020	30.46058217	-91.30989571	455	32	0	West Baton Rouge
3104	Louisiana	US	07/18/2020	30.46058217	-91.30989571	455	32	0	West Baton Rouge
3104	Louisiana	US	07/19/2020	30.46058217	-91.30989571	467	32	0	West Baton Rouge
3022	Louisiana	US	07/20/2020	30.46058217	-91.30989571	479	32	0	West Baton Rouge
3108	Louisiana	US	07/21/2020	30.46058217	-91.30989571	484	33	0	West Baton Rouge
3109	Louisiana	US	07/22/2020	30.46058217	-91.30989571	490	33	0	West Baton Rouge
3112	Louisiana	US	07/23/2020	30.46058217	-91.30989571	502	33	0	West Baton Rouge
3111	Louisiana	US	07/24/2020	30.46058217	-91.30989571	524	33	0	West Baton Rouge
3112	Louisiana	US	07/25/2020	30.46058217	-91.30989571	524	33	0	West Baton Rouge
3113	Louisiana	US	07/26/2020	30.46058217	-91.30989571	545	33	0	West Baton Rouge
3113	Louisiana	US	07/27/2020	30.46058217	-91.30989571	573	33	0	West Baton Rouge
3113	Louisiana	US	07/28/2020	30.46058217	-91.30989571	582	33	0	West Baton Rouge
3117	Louisiana	US	07/29/2020	30.46058217	-91.30989571	593	34	0	West Baton Rouge
3117	Louisiana	US	07/30/2020	30.46058217	-91.30989571	609	35	0	West Baton Rouge
3119	Louisiana	US	07/31/2020	30.46058217	-91.30989571	613	36	0	West Baton Rouge
3119	Louisiana	US	08/01/2020	30.46058217	-91.30989571	613	36	0	West Baton Rouge
3119	Louisiana	US	08/02/2020	30.46058217	-91.30989571	655	36	0	West Baton Rouge
3119	Louisiana	US	08/03/2020	30.46058217	-91.30989571	661	36	0	West Baton Rouge
3119	Louisiana	US	08/04/2020	30.46058217	-91.30989571	675	36	0	West Baton Rouge
3122	Louisiana	US	08/05/2020	30.46058217	-91.30989571	678	36	0	West Baton Rouge
3122	Louisiana	US	08/06/2020	30.46058217	-91.30989571	689	36	0	West Baton Rouge
3122	Louisiana	US	08/07/2020	30.46058217	-91.30989571	701	37	0	West Baton Rouge
3122	Louisiana	US	08/08/2020	30.46058217	-91.30989571	701	37	0	West Baton Rouge
3122	Louisiana	US	08/09/2020	30.46058217	-91.30989571	720	37	0	West Baton Rouge
