	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2894	Texas	US	03/22/2020	32.89779518	-96.40771592	0	0	0	Rockwall
2462	Texas	US	03/23/2020	32.89779518	-96.40771592	0	0	0	Rockwall
2462	Texas	US	03/24/2020	32.89779518	-96.40771592	0	0	0	Rockwall
2462	Texas	US	03/25/2020	32.89779518	-96.40771592	0	0	0	Rockwall
2461	Texas	US	03/26/2020	32.89779518	-96.40771592	2	0	0	Rockwall
2461	Texas	US	03/27/2020	32.89779518	-96.40771592	3	0	0	Rockwall
2461	Texas	US	03/28/2020	32.89779518	-96.40771592	3	0	0	Rockwall
2461	Texas	US	03/29/2020	32.89779518	-96.40771592	3	0	0	Rockwall
2461	Texas	US	03/30/2020	32.89779518	-96.40771592	4	0	0	Rockwall
1655	Texas	US	03/31/2020	32.89779518	-96.40771592	5	0	0	Rockwall
1696	Texas	US	04/01/2020	32.89779518	-96.40771592	5	0	0	Rockwall
1760	Texas	US	04/02/2020	32.89779518	-96.40771592	6	0	0	Rockwall
1804	Texas	US	04/03/2020	32.89779518	-96.40771592	7	0	0	Rockwall
1848	Texas	US	04/04/2020	32.89779518	-96.40771592	7	0	0	Rockwall
1912	Texas	US	04/05/2020	32.89779518	-96.40771592	9	0	0	Rockwall
1945	Texas	US	04/06/2020	32.89779518	-96.40771592	9	0	0	Rockwall
1986	Texas	US	04/07/2020	32.89779518	-96.40771592	9	0	0	Rockwall
2004	Texas	US	04/08/2020	32.89779518	-96.40771592	11	0	0	Rockwall
2027	Texas	US	04/09/2020	32.89779518	-96.40771592	12	0	0	Rockwall
2046	Texas	US	04/10/2020	32.89779518	-96.40771592	13	0	0	Rockwall
2070	Texas	US	04/11/2020	32.89779518	-96.40771592	13	0	0	Rockwall
2086	Texas	US	04/12/2020	32.89779518	-96.40771592	13	0	0	Rockwall
2100	Texas	US	04/13/2020	32.89779518	-96.40771592	16	0	0	Rockwall
2108	Texas	US	04/14/2020	32.89779518	-96.40771592	18	0	0	Rockwall
2119	Texas	US	04/15/2020	32.89779518	-96.40771592	18	0	0	Rockwall
2130	Texas	US	04/16/2020	32.89779518	-96.40771592	18	0	0	Rockwall
2132	Texas	US	04/17/2020	32.89779518	-96.40771592	20	0	0	Rockwall
2139	Texas	US	04/18/2020	32.89779518	-96.40771592	20	0	0	Rockwall
2152	Texas	US	04/19/2020	32.89779518	-96.40771592	20	0	0	Rockwall
2159	Texas	US	04/20/2020	32.89779518	-96.40771592	21	0	0	Rockwall
2168	Texas	US	04/21/2020	32.89779518	-96.40771592	27	0	0	Rockwall
2175	Texas	US	04/22/2020	32.89779518	-96.40771592	28	0	0	Rockwall
2189	Texas	US	04/23/2020	32.89779518	-96.40771592	30	0	0	Rockwall
2194	Texas	US	04/24/2020	32.89779518	-96.40771592	34	0	0	Rockwall
2199	Texas	US	04/25/2020	32.89779518	-96.40771592	34	0	0	Rockwall
2206	Texas	US	04/26/2020	32.89779518	-96.40771592	34	0	0	Rockwall
2212	Texas	US	04/27/2020	32.89779518	-96.40771592	36	1	0	Rockwall
2220	Texas	US	04/28/2020	32.89779518	-96.40771592	45	1	0	Rockwall
2223	Texas	US	04/29/2020	32.89779518	-96.40771592	48	1	0	Rockwall
2229	Texas	US	04/30/2020	32.89779518	-96.40771592	48	1	0	Rockwall
2239	Texas	US	05/01/2020	32.89779518	-96.40771592	50	1	0	Rockwall
2243	Texas	US	05/02/2020	32.89779518	-96.40771592	51	3	0	Rockwall
2247	Texas	US	05/03/2020	32.89779518	-96.40771592	53	3	0	Rockwall
2250	Texas	US	05/04/2020	32.89779518	-96.40771592	54	3	0	Rockwall
2257	Texas	US	05/05/2020	32.89779518	-96.40771592	55	3	0	Rockwall
2262	Texas	US	05/06/2020	32.89779518	-96.40771592	55	3	0	Rockwall
2266	Texas	US	05/07/2020	32.89779518	-96.40771592	63	3	0	Rockwall
2273	Texas	US	05/08/2020	32.89779518	-96.40771592	66	4	0	Rockwall
2274	Texas	US	05/09/2020	32.89779518	-96.40771592	69	4	0	Rockwall
2276	Texas	US	05/10/2020	32.89779518	-96.40771592	69	4	0	Rockwall
2276	Texas	US	05/11/2020	32.89779518	-96.40771592	74	5	0	Rockwall
2279	Texas	US	05/12/2020	32.89779518	-96.40771592	76	5	0	Rockwall
2280	Texas	US	05/13/2020	32.89779518	-96.40771592	78	5	0	Rockwall
2281	Texas	US	05/14/2020	32.89779518	-96.40771592	80	5	0	Rockwall
2285	Texas	US	05/15/2020	32.89779518	-96.40771592	85	5	0	Rockwall
2290	Texas	US	05/16/2020	32.89779518	-96.40771592	85	5	0	Rockwall
2292	Texas	US	05/17/2020	32.89779518	-96.40771592	86	5	0	Rockwall
2294	Texas	US	05/18/2020	32.89779518	-96.40771592	93	5	0	Rockwall
2297	Texas	US	05/19/2020	32.89779518	-96.40771592	94	5	0	Rockwall
2303	Texas	US	05/20/2020	32.89779518	-96.40771592	95	5	0	Rockwall
2304	Texas	US	05/21/2020	32.89779518	-96.40771592	97	9	0	Rockwall
2308	Texas	US	05/22/2020	32.89779518	-96.40771592	97	9	0	Rockwall
2310	Texas	US	05/23/2020	32.89779518	-96.40771592	97	9	0	Rockwall
2313	Texas	US	05/24/2020	32.89779518	-96.40771592	97	10	0	Rockwall
2314	Texas	US	05/25/2020	32.89779518	-96.40771592	98	10	0	Rockwall
2315	Texas	US	05/26/2020	32.89779518	-96.40771592	98	11	0	Rockwall
2318	Texas	US	05/27/2020	32.89779518	-96.40771592	99	12	0	Rockwall
2320	Texas	US	05/28/2020	32.89779518	-96.40771592	100	13	0	Rockwall
2323	Texas	US	05/29/2020	32.89779518	-96.40771592	101	13	0	Rockwall
2325	Texas	US	05/30/2020	32.89779518	-96.40771592	101	13	0	Rockwall
2326	Texas	US	05/31/2020	32.89779518	-96.40771592	101	13	0	Rockwall
2328	Texas	US	06/01/2020	32.89779518	-96.40771592	102	13	0	Rockwall
2332	Texas	US	06/02/2020	32.89779518	-96.40771592	106	14	0	Rockwall
2334	Texas	US	06/03/2020	32.89779518	-96.40771592	107	14	0	Rockwall
2335	Texas	US	06/04/2020	32.89779518	-96.40771592	125	14	0	Rockwall
2338	Texas	US	06/05/2020	32.89779518	-96.40771592	130	14	0	Rockwall
2339	Texas	US	06/06/2020	32.89779518	-96.40771592	131	14	0	Rockwall
2339	Texas	US	06/07/2020	32.89779518	-96.40771592	132	14	0	Rockwall
2339	Texas	US	06/08/2020	32.89779518	-96.40771592	136	15	0	Rockwall
2340	Texas	US	06/09/2020	32.89779518	-96.40771592	143	15	0	Rockwall
2342	Texas	US	06/10/2020	32.89779518	-96.40771592	149	15	0	Rockwall
2343	Texas	US	06/11/2020	32.89779518	-96.40771592	151	15	0	Rockwall
2355	Texas	US	06/12/2020	32.89779518	-96.40771592	156	15	0	Rockwall
2357	Texas	US	06/13/2020	32.89779518	-96.40771592	156	15	0	Rockwall
2357	Texas	US	06/14/2020	32.89779518	-96.40771592	165	15	0	Rockwall
2360	Texas	US	06/15/2020	32.89779518	-96.40771592	172	15	0	Rockwall
2358	Texas	US	06/16/2020	32.89779518	-96.40771592	178	15	0	Rockwall
2360	Texas	US	06/17/2020	32.89779518	-96.40771592	187	16	0	Rockwall
2360	Texas	US	06/18/2020	32.89779518	-96.40771592	190	16	0	Rockwall
2360	Texas	US	06/19/2020	32.89779518	-96.40771592	196	16	0	Rockwall
2364	Texas	US	06/20/2020	32.89779518	-96.40771592	211	16	0	Rockwall
2364	Texas	US	06/21/2020	32.89779518	-96.40771592	213	16	0	Rockwall
2366	Texas	US	06/22/2020	32.89779518	-96.40771592	215	16	0	Rockwall
2370	Texas	US	06/23/2020	32.89779518	-96.40771592	227	16	0	Rockwall
2381	Texas	US	06/24/2020	32.89779518	-96.40771592	244	16	0	Rockwall
2386	Texas	US	06/25/2020	32.89779518	-96.40771592	253	16	0	Rockwall
2387	Texas	US	06/26/2020	32.89779518	-96.40771592	273	16	0	Rockwall
2388	Texas	US	06/27/2020	32.89779518	-96.40771592	282	16	0	Rockwall
2388	Texas	US	06/28/2020	32.89779518	-96.40771592	286	16	0	Rockwall
2389	Texas	US	06/29/2020	32.89779518	-96.40771592	295	16	0	Rockwall
2391	Texas	US	06/30/2020	32.89779518	-96.40771592	301	16	0	Rockwall
2392	Texas	US	07/01/2020	32.89779518	-96.40771592	315	16	0	Rockwall
2394	Texas	US	07/02/2020	32.89779518	-96.40771592	329	16	0	Rockwall
2397	Texas	US	07/03/2020	32.89779518	-96.40771592	340	16	0	Rockwall
2398	Texas	US	07/04/2020	32.89779518	-96.40771592	349	16	0	Rockwall
2398	Texas	US	07/05/2020	32.89779518	-96.40771592	359	16	0	Rockwall
2401	Texas	US	07/06/2020	32.89779518	-96.40771592	366	16	0	Rockwall
2401	Texas	US	07/07/2020	32.89779518	-96.40771592	387	16	0	Rockwall
2404	Texas	US	07/08/2020	32.89779518	-96.40771592	396	17	0	Rockwall
2403	Texas	US	07/09/2020	32.89779518	-96.40771592	412	17	0	Rockwall
2406	Texas	US	07/10/2020	32.89779518	-96.40771592	434	17	0	Rockwall
2407	Texas	US	07/11/2020	32.89779518	-96.40771592	454	17	0	Rockwall
2409	Texas	US	07/12/2020	32.89779518	-96.40771592	463	17	0	Rockwall
2411	Texas	US	07/13/2020	32.89779518	-96.40771592	477	17	0	Rockwall
2414	Texas	US	07/14/2020	32.89779518	-96.40771592	490	17	0	Rockwall
2414	Texas	US	07/15/2020	32.89779518	-96.40771592	516	17	0	Rockwall
2416	Texas	US	07/16/2020	32.89779518	-96.40771592	536	17	0	Rockwall
2416	Texas	US	07/17/2020	32.89779518	-96.40771592	544	17	0	Rockwall
2478	Texas	US	07/18/2020	32.89779518	-96.40771592	547	17	0	Rockwall
2479	Texas	US	07/19/2020	32.89779518	-96.40771592	563	17	0	Rockwall
2414	Texas	US	07/20/2020	32.89779518	-96.40771592	571	17	0	Rockwall
2483	Texas	US	07/21/2020	32.89779518	-96.40771592	597	17	0	Rockwall
2484	Texas	US	07/22/2020	32.89779518	-96.40771592	616	17	0	Rockwall
2486	Texas	US	07/23/2020	32.89779518	-96.40771592	622	17	0	Rockwall
2485	Texas	US	07/24/2020	32.89779518	-96.40771592	633	17	0	Rockwall
2486	Texas	US	07/25/2020	32.89779518	-96.40771592	649	17	0	Rockwall
2487	Texas	US	07/26/2020	32.89779518	-96.40771592	658	17	0	Rockwall
2487	Texas	US	07/27/2020	32.89779518	-96.40771592	677	17	0	Rockwall
2487	Texas	US	07/28/2020	32.89779518	-96.40771592	702	17	0	Rockwall
2491	Texas	US	07/29/2020	32.89779518	-96.40771592	719	17	0	Rockwall
2491	Texas	US	07/30/2020	32.89779518	-96.40771592	738	17	0	Rockwall
2493	Texas	US	07/31/2020	32.89779518	-96.40771592	754	17	0	Rockwall
2493	Texas	US	08/01/2020	32.89779518	-96.40771592	754	17	0	Rockwall
2493	Texas	US	08/02/2020	32.89779518	-96.40771592	770	17	0	Rockwall
2493	Texas	US	08/03/2020	32.89779518	-96.40771592	784	17	0	Rockwall
2494	Texas	US	08/04/2020	32.89779518	-96.40771592	817	17	0	Rockwall
2498	Texas	US	08/05/2020	32.89779518	-96.40771592	835	12	0	Rockwall
2498	Texas	US	08/06/2020	32.89779518	-96.40771592	879	12	0	Rockwall
2498	Texas	US	08/07/2020	32.89779518	-96.40771592	895	12	0	Rockwall
2498	Texas	US	08/08/2020	32.89779518	-96.40771592	920	13	0	Rockwall
2498	Texas	US	08/09/2020	32.89779518	-96.40771592	924	13	0	Rockwall
2498	Texas	US	08/10/2020	32.89779518	-96.40771592	958	13	0	Rockwall
3523	Texas	US	08/11/2020	32.89779518	-96.40771592	974	13	0	Rockwall
3477	Texas	US	08/12/2020	32.89779518	-96.40771592	996	15	0	Rockwall
3479	Texas	US	08/13/2020	32.89779518	-96.40771592	1026	15	0	Rockwall
3479	Texas	US	08/14/2020	32.89779518	-96.40771592	1130	15	0	Rockwall
3479	Texas	US	08/15/2020	32.89779518	-96.40771592	1159	15	0	Rockwall
3479	Texas	US	08/16/2020	32.89779518	-96.40771592	1164	15	0	Rockwall
3481	Texas	US	08/17/2020	32.89779518	-96.40771592	1190	16	0	Rockwall
3481	Texas	US	08/18/2020	32.89779518	-96.40771592	1231	17	0	Rockwall
3483	Texas	US	08/19/2020	32.89779518	-96.40771592	1238	17	0	Rockwall
3483	Texas	US	08/20/2020	32.89779518	-96.40771592	1255	18	0	Rockwall
3483	Texas	US	08/21/2020	32.89779518	-96.40771592	1261	20	0	Rockwall
3484	Texas	US	08/22/2020	32.89779518	-96.40771592	1270	21	0	Rockwall
3484	Texas	US	08/23/2020	32.89779518	-96.40771592	1275	21	0	Rockwall
3484	Texas	US	08/24/2020	32.89779518	-96.40771592	1285	21	0	Rockwall
3484	Texas	US	08/25/2020	32.89779518	-96.40771592	1290	21	0	Rockwall
3484	Texas	US	08/26/2020	32.89779518	-96.40771592	1294	21	0	Rockwall
3484	Texas	US	08/27/2020	32.89779518	-96.40771592	1311	21	0	Rockwall
3484	Texas	US	08/28/2020	32.89779518	-96.40771592	1318	21	0	Rockwall
3484	Texas	US	08/29/2020	32.89779518	-96.40771592	1328	21	0	Rockwall
3484	Texas	US	08/30/2020	32.89779518	-96.40771592	1347	21	0	Rockwall
3488	Texas	US	08/31/2020	32.89779518	-96.40771592	1352	21	0	Rockwall
3488	Texas	US	09/01/2020	32.89779518	-96.40771592	1365	21	0	Rockwall
