	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1492	Idaho	US	03/22/2020	44.00545243	-116.7647695	0	0	0	Payette
2214	Idaho	US	03/23/2020	44.00545243	-116.7647695	0	0	0	Payette
2214	Idaho	US	03/24/2020	44.00545243	-116.7647695	0	0	0	Payette
2214	Idaho	US	03/25/2020	44.00545243	-116.7647695	0	0	0	Payette
2213	Idaho	US	03/26/2020	44.00545243	-116.7647695	1	0	0	Payette
2213	Idaho	US	03/27/2020	44.00545243	-116.7647695	4	0	0	Payette
2213	Idaho	US	03/28/2020	44.00545243	-116.7647695	1	0	0	Payette
2213	Idaho	US	03/29/2020	44.00545243	-116.7647695	1	0	0	Payette
2213	Idaho	US	03/30/2020	44.00545243	-116.7647695	1	0	0	Payette
1504	Idaho	US	03/31/2020	44.00545243	-116.7647695	1	0	0	Payette
1543	Idaho	US	04/01/2020	44.00545243	-116.7647695	1	0	0	Payette
1604	Idaho	US	04/02/2020	44.00545243	-116.7647695	3	0	0	Payette
1638	Idaho	US	04/03/2020	44.00545243	-116.7647695	5	0	0	Payette
1678	Idaho	US	04/04/2020	44.00545243	-116.7647695	5	0	0	Payette
1733	Idaho	US	04/05/2020	44.00545243	-116.7647695	5	0	0	Payette
1760	Idaho	US	04/06/2020	44.00545243	-116.7647695	6	0	0	Payette
1798	Idaho	US	04/07/2020	44.00545243	-116.7647695	6	1	0	Payette
1814	Idaho	US	04/08/2020	44.00545243	-116.7647695	6	1	0	Payette
1834	Idaho	US	04/09/2020	44.00545243	-116.7647695	6	1	0	Payette
1848	Idaho	US	04/10/2020	44.00545243	-116.7647695	8	0	0	Payette
1867	Idaho	US	04/11/2020	44.00545243	-116.7647695	8	0	0	Payette
1879	Idaho	US	04/12/2020	44.00545243	-116.7647695	8	1	0	Payette
1893	Idaho	US	04/13/2020	44.00545243	-116.7647695	8	1	0	Payette
1901	Idaho	US	04/14/2020	44.00545243	-116.7647695	9	1	0	Payette
1911	Idaho	US	04/15/2020	44.00545243	-116.7647695	9	1	0	Payette
1920	Idaho	US	04/16/2020	44.00545243	-116.7647695	10	1	0	Payette
1922	Idaho	US	04/17/2020	44.00545243	-116.7647695	10	1	0	Payette
1928	Idaho	US	04/18/2020	44.00545243	-116.7647695	10	1	0	Payette
1940	Idaho	US	04/19/2020	44.00545243	-116.7647695	10	1	0	Payette
1947	Idaho	US	04/20/2020	44.00545243	-116.7647695	10	1	0	Payette
1955	Idaho	US	04/21/2020	44.00545243	-116.7647695	11	1	0	Payette
1962	Idaho	US	04/22/2020	44.00545243	-116.7647695	11	1	0	Payette
1974	Idaho	US	04/23/2020	44.00545243	-116.7647695	11	1	0	Payette
1979	Idaho	US	04/24/2020	44.00545243	-116.7647695	13	1	0	Payette
1983	Idaho	US	04/25/2020	44.00545243	-116.7647695	13	1	0	Payette
1989	Idaho	US	04/26/2020	44.00545243	-116.7647695	13	1	0	Payette
1992	Idaho	US	04/27/2020	44.00545243	-116.7647695	13	1	0	Payette
2000	Idaho	US	04/28/2020	44.00545243	-116.7647695	14	1	0	Payette
2003	Idaho	US	04/29/2020	44.00545243	-116.7647695	14	1	0	Payette
2009	Idaho	US	04/30/2020	44.00545243	-116.7647695	16	1	0	Payette
2018	Idaho	US	05/01/2020	44.00545243	-116.7647695	16	1	0	Payette
2022	Idaho	US	05/02/2020	44.00545243	-116.7647695	16	1	0	Payette
2025	Idaho	US	05/03/2020	44.00545243	-116.7647695	16	1	0	Payette
2027	Idaho	US	05/04/2020	44.00545243	-116.7647695	17	1	0	Payette
2033	Idaho	US	05/05/2020	44.00545243	-116.7647695	17	1	0	Payette
2038	Idaho	US	05/06/2020	44.00545243	-116.7647695	17	2	0	Payette
2042	Idaho	US	05/07/2020	44.00545243	-116.7647695	17	2	0	Payette
2048	Idaho	US	05/08/2020	44.00545243	-116.7647695	17	2	0	Payette
2049	Idaho	US	05/09/2020	44.00545243	-116.7647695	17	2	0	Payette
2050	Idaho	US	05/10/2020	44.00545243	-116.7647695	17	2	0	Payette
2050	Idaho	US	05/11/2020	44.00545243	-116.7647695	17	2	0	Payette
2053	Idaho	US	05/12/2020	44.00545243	-116.7647695	17	2	0	Payette
2053	Idaho	US	05/13/2020	44.00545243	-116.7647695	17	2	0	Payette
2054	Idaho	US	05/14/2020	44.00545243	-116.7647695	19	2	0	Payette
2058	Idaho	US	05/15/2020	44.00545243	-116.7647695	19	2	0	Payette
2062	Idaho	US	05/16/2020	44.00545243	-116.7647695	20	2	0	Payette
2064	Idaho	US	05/17/2020	44.00545243	-116.7647695	20	2	0	Payette
2066	Idaho	US	05/18/2020	44.00545243	-116.7647695	22	2	0	Payette
2068	Idaho	US	05/19/2020	44.00545243	-116.7647695	22	2	0	Payette
2074	Idaho	US	05/20/2020	44.00545243	-116.7647695	22	2	0	Payette
2075	Idaho	US	05/21/2020	44.00545243	-116.7647695	22	2	0	Payette
2079	Idaho	US	05/22/2020	44.00545243	-116.7647695	23	2	0	Payette
2081	Idaho	US	05/23/2020	44.00545243	-116.7647695	23	2	0	Payette
2084	Idaho	US	05/24/2020	44.00545243	-116.7647695	23	2	0	Payette
2084	Idaho	US	05/25/2020	44.00545243	-116.7647695	23	2	0	Payette
2085	Idaho	US	05/26/2020	44.00545243	-116.7647695	23	2	0	Payette
2087	Idaho	US	05/27/2020	44.00545243	-116.7647695	23	2	0	Payette
2089	Idaho	US	05/28/2020	44.00545243	-116.7647695	23	2	0	Payette
2092	Idaho	US	05/29/2020	44.00545243	-116.7647695	23	2	0	Payette
2094	Idaho	US	05/30/2020	44.00545243	-116.7647695	23	2	0	Payette
2095	Idaho	US	05/31/2020	44.00545243	-116.7647695	23	2	0	Payette
2097	Idaho	US	06/01/2020	44.00545243	-116.7647695	23	2	0	Payette
2101	Idaho	US	06/02/2020	44.00545243	-116.7647695	23	2	0	Payette
2103	Idaho	US	06/03/2020	44.00545243	-116.7647695	23	2	0	Payette
2104	Idaho	US	06/04/2020	44.00545243	-116.7647695	25	2	0	Payette
2106	Idaho	US	06/05/2020	44.00545243	-116.7647695	26	2	0	Payette
2107	Idaho	US	06/06/2020	44.00545243	-116.7647695	26	2	0	Payette
2107	Idaho	US	06/07/2020	44.00545243	-116.7647695	26	2	0	Payette
2107	Idaho	US	06/08/2020	44.00545243	-116.7647695	26	2	0	Payette
2108	Idaho	US	06/09/2020	44.00545243	-116.7647695	26	2	0	Payette
2110	Idaho	US	06/10/2020	44.00545243	-116.7647695	26	2	0	Payette
2111	Idaho	US	06/11/2020	44.00545243	-116.7647695	26	2	0	Payette
2122	Idaho	US	06/12/2020	44.00545243	-116.7647695	27	2	0	Payette
2124	Idaho	US	06/13/2020	44.00545243	-116.7647695	27	2	0	Payette
2124	Idaho	US	06/14/2020	44.00545243	-116.7647695	27	2	0	Payette
2127	Idaho	US	06/15/2020	44.00545243	-116.7647695	27	2	0	Payette
2125	Idaho	US	06/16/2020	44.00545243	-116.7647695	28	2	0	Payette
2127	Idaho	US	06/17/2020	44.00545243	-116.7647695	30	2	0	Payette
2127	Idaho	US	06/18/2020	44.00545243	-116.7647695	32	2	0	Payette
2127	Idaho	US	06/19/2020	44.00545243	-116.7647695	40	2	0	Payette
2131	Idaho	US	06/20/2020	44.00545243	-116.7647695	43	2	0	Payette
2131	Idaho	US	06/21/2020	44.00545243	-116.7647695	43	2	0	Payette
2133	Idaho	US	06/22/2020	44.00545243	-116.7647695	43	2	0	Payette
2137	Idaho	US	06/23/2020	44.00545243	-116.7647695	43	2	0	Payette
2146	Idaho	US	06/24/2020	44.00545243	-116.7647695	48	2	0	Payette
2151	Idaho	US	06/25/2020	44.00545243	-116.7647695	73	2	0	Payette
2152	Idaho	US	06/26/2020	44.00545243	-116.7647695	73	2	0	Payette
2153	Idaho	US	06/27/2020	44.00545243	-116.7647695	82	2	0	Payette
2153	Idaho	US	06/28/2020	44.00545243	-116.7647695	82	2	0	Payette
2154	Idaho	US	06/29/2020	44.00545243	-116.7647695	89	2	0	Payette
2156	Idaho	US	06/30/2020	44.00545243	-116.7647695	102	2	0	Payette
2156	Idaho	US	07/01/2020	44.00545243	-116.7647695	111	2	0	Payette
2158	Idaho	US	07/02/2020	44.00545243	-116.7647695	115	2	0	Payette
2161	Idaho	US	07/03/2020	44.00545243	-116.7647695	122	2	0	Payette
2162	Idaho	US	07/04/2020	44.00545243	-116.7647695	131	2	0	Payette
2162	Idaho	US	07/05/2020	44.00545243	-116.7647695	136	2	0	Payette
2165	Idaho	US	07/06/2020	44.00545243	-116.7647695	138	2	0	Payette
2165	Idaho	US	07/07/2020	44.00545243	-116.7647695	141	2	0	Payette
2168	Idaho	US	07/08/2020	44.00545243	-116.7647695	149	2	0	Payette
2167	Idaho	US	07/09/2020	44.00545243	-116.7647695	154	2	0	Payette
2170	Idaho	US	07/10/2020	44.00545243	-116.7647695	166	2	0	Payette
2170	Idaho	US	07/11/2020	44.00545243	-116.7647695	172	2	0	Payette
2172	Idaho	US	07/12/2020	44.00545243	-116.7647695	188	2	0	Payette
2174	Idaho	US	07/13/2020	44.00545243	-116.7647695	191	2	0	Payette
2177	Idaho	US	07/14/2020	44.00545243	-116.7647695	198	2	0	Payette
2177	Idaho	US	07/15/2020	44.00545243	-116.7647695	212	2	0	Payette
2179	Idaho	US	07/16/2020	44.00545243	-116.7647695	221	2	0	Payette
2179	Idaho	US	07/17/2020	44.00545243	-116.7647695	228	2	0	Payette
2236	Idaho	US	07/18/2020	44.00545243	-116.7647695	235	2	0	Payette
2237	Idaho	US	07/19/2020	44.00545243	-116.7647695	241	2	0	Payette
2183	Idaho	US	07/20/2020	44.00545243	-116.7647695	244	2	0	Payette
2241	Idaho	US	07/21/2020	44.00545243	-116.7647695	252	2	0	Payette
2242	Idaho	US	07/22/2020	44.00545243	-116.7647695	259	2	0	Payette
2242	Idaho	US	07/23/2020	44.00545243	-116.7647695	259	2	0	Payette
2241	Idaho	US	07/24/2020	44.00545243	-116.7647695	268	2	0	Payette
2242	Idaho	US	07/25/2020	44.00545243	-116.7647695	268	2	0	Payette
2243	Idaho	US	07/26/2020	44.00545243	-116.7647695	281	2	0	Payette
2243	Idaho	US	07/27/2020	44.00545243	-116.7647695	288	2	0	Payette
2243	Idaho	US	07/28/2020	44.00545243	-116.7647695	290	2	0	Payette
2246	Idaho	US	07/29/2020	44.00545243	-116.7647695	302	2	0	Payette
2246	Idaho	US	07/30/2020	44.00545243	-116.7647695	311	2	0	Payette
2248	Idaho	US	07/31/2020	44.00545243	-116.7647695	323	2	0	Payette
2248	Idaho	US	08/01/2020	44.00545243	-116.7647695	326	2	0	Payette
2248	Idaho	US	08/02/2020	44.00545243	-116.7647695	326	2	0	Payette
2248	Idaho	US	08/03/2020	44.00545243	-116.7647695	343	2	0	Payette
2248	Idaho	US	08/04/2020	44.00545243	-116.7647695	348	2	0	Payette
2251	Idaho	US	08/05/2020	44.00545243	-116.7647695	354	2	0	Payette
2251	Idaho	US	08/06/2020	44.00545243	-116.7647695	367	2	0	Payette
2251	Idaho	US	08/07/2020	44.00545243	-116.7647695	377	2	0	Payette
2251	Idaho	US	08/08/2020	44.00545243	-116.7647695	384	2	0	Payette
2251	Idaho	US	08/09/2020	44.00545243	-116.7647695	384	2	0	Payette
2251	Idaho	US	08/10/2020	44.00545243	-116.7647695	394	2	0	Payette
1278	Idaho	US	08/11/2020	44.00545243	-116.7647695	405	3	0	Payette
1232	Idaho	US	08/12/2020	44.00545243	-116.7647695	417	3	0	Payette
1233	Idaho	US	08/13/2020	44.00545243	-116.7647695	424	3	0	Payette
1233	Idaho	US	08/14/2020	44.00545243	-116.7647695	441	3	0	Payette
1233	Idaho	US	08/15/2020	44.00545243	-116.7647695	443	3	0	Payette
1233	Idaho	US	08/16/2020	44.00545243	-116.7647695	447	3	0	Payette
1233	Idaho	US	08/17/2020	44.00545243	-116.7647695	451	3	0	Payette
1233	Idaho	US	08/18/2020	44.00545243	-116.7647695	468	4	0	Payette
1233	Idaho	US	08/19/2020	44.00545243	-116.7647695	495	4	0	Payette
1233	Idaho	US	08/20/2020	44.00545243	-116.7647695	509	4	0	Payette
1233	Idaho	US	08/21/2020	44.00545243	-116.7647695	514	4	0	Payette
1234	Idaho	US	08/22/2020	44.00545243	-116.7647695	550	4	0	Payette
1234	Idaho	US	08/23/2020	44.00545243	-116.7647695	558	4	0	Payette
1234	Idaho	US	08/24/2020	44.00545243	-116.7647695	570	4	0	Payette
1234	Idaho	US	08/25/2020	44.00545243	-116.7647695	586	4	0	Payette
1234	Idaho	US	08/26/2020	44.00545243	-116.7647695	605	4	0	Payette
1234	Idaho	US	08/27/2020	44.00545243	-116.7647695	628	4	0	Payette
1234	Idaho	US	08/28/2020	44.00545243	-116.7647695	639	4	0	Payette
1234	Idaho	US	08/29/2020	44.00545243	-116.7647695	652	4	0	Payette
1234	Idaho	US	08/30/2020	44.00545243	-116.7647695	663	4	0	Payette
1234	Idaho	US	08/31/2020	44.00545243	-116.7647695	672	4	0	Payette
1234	Idaho	US	09/01/2020	44.00545243	-116.7647695	690	4	0	Payette
1234	Idaho	US	09/02/2020	44.00545243	-116.7647695	702	4	0	Payette
1234	Idaho	US	09/03/2020	44.00545243	-116.7647695	713	4	0	Payette
1234	Idaho	US	09/04/2020	44.00545243	-116.7647695	713	4	0	Payette
1234	Idaho	US	09/05/2020	44.00545243	-116.7647695	713	4	0	Payette
1234	Idaho	US	09/06/2020	44.00545243	-116.7647695	713	4	0	Payette
1234	Idaho	US	09/07/2020	44.00545243	-116.7647695	713	4	0	Payette
1234	Idaho	US	09/08/2020	44.00545243	-116.7647695	713	4	0	Payette
1234	Idaho	US	09/09/2020	44.00545243	-116.7647695	750	4	0	Payette
1234	Idaho	US	09/10/2020	44.00545243	-116.7647695	756	4	0	Payette
1234	Idaho	US	09/11/2020	44.00545243	-116.7647695	758	4	0	Payette
1234	Idaho	US	09/12/2020	44.00545243	-116.7647695	765	4	0	Payette
1234	Idaho	US	09/13/2020	44.00545243	-116.7647695	769	4	0	Payette
1234	Idaho	US	09/14/2020	44.00545243	-116.7647695	773	4	0	Payette
1234	Idaho	US	09/15/2020	44.00545243	-116.7647695	780	5	0	Payette
1234	Idaho	US	09/16/2020	44.00545243	-116.7647695	786	6	0	Payette
1234	Idaho	US	09/17/2020	44.00545243	-116.7647695	791	6	0	Payette
1234	Idaho	US	09/18/2020	44.00545243	-116.7647695	799	6	0	Payette
1234	Idaho	US	09/19/2020	44.00545243	-116.7647695	805	6	0	Payette
1234	Idaho	US	09/20/2020	44.00545243	-116.7647695	812	6	0	Payette
1235	Idaho	US	09/21/2020	44.00545243	-116.7647695	814	6	0	Payette
1235	Idaho	US	09/22/2020	44.00545243	-116.7647695	839	7	0	Payette
1235	Idaho	US	09/23/2020	44.00545243	-116.7647695	853	7	0	Payette
1235	Idaho	US	09/24/2020	44.00545243	-116.7647695	858	7	0	Payette
1235	Idaho	US	09/25/2020	44.00545243	-116.7647695	864	7	0	Payette
1235	Idaho	US	09/26/2020	44.00545243	-116.7647695	871	8	0	Payette
1235	Idaho	US	09/27/2020	44.00545243	-116.7647695	876	8	0	Payette
1235	Idaho	US	09/28/2020	44.00545243	-116.7647695	879	8	0	Payette
1235	Idaho	US	09/29/2020	44.00545243	-116.7647695	895	9	0	Payette
1235	Idaho	US	09/30/2020	44.00545243	-116.7647695	910	9	0	Payette
1235	Idaho	US	10/01/2020	44.00545243	-116.7647695	919	9	0	Payette
1235	Idaho	US	10/02/2020	44.00545243	-116.7647695	933	9	0	Payette
1235	Idaho	US	10/03/2020	44.00545243	-116.7647695	938	9	0	Payette
1235	Idaho	US	10/04/2020	44.00545243	-116.7647695	938	9	0	Payette
1235	Idaho	US	10/05/2020	44.00545243	-116.7647695	947	9	0	Payette
1235	Idaho	US	10/06/2020	44.00545243	-116.7647695	961	9	0	Payette
1235	Idaho	US	10/07/2020	44.00545243	-116.7647695	970	9	0	Payette
1235	Idaho	US	10/08/2020	44.00545243	-116.7647695	978	9	0	Payette
1235	Idaho	US	10/09/2020	44.00545243	-116.7647695	993	9	0	Payette
1235	Idaho	US	10/10/2020	44.00545243	-116.7647695	998	9	0	Payette
1235	Idaho	US	10/11/2020	44.00545243	-116.7647695	999	9	0	Payette
1236	Idaho	US	10/12/2020	44.00545243	-116.7647695	1007	9	0	Payette
1236	Idaho	US	10/13/2020	44.00545243	-116.7647695	1021	9	0	Payette
1236	Idaho	US	10/14/2020	44.00545243	-116.7647695	1028	9	0	Payette
1236	Idaho	US	10/15/2020	44.00545243	-116.7647695	1038	10	0	Payette
1237	Idaho	US	10/16/2020	44.00545243	-116.7647695	1052	10	0	Payette
1237	Idaho	US	10/17/2020	44.00545243	-116.7647695	1068	10	0	Payette
1237	Idaho	US	10/18/2020	44.00545243	-116.7647695	1069	10	0	Payette
1238	Idaho	US	10/19/2020	44.00545243	-116.7647695	1075	10	0	Payette
1238	Idaho	US	10/20/2020	44.00545243	-116.7647695	1082	10	0	Payette
1238	Idaho	US	10/21/2020	44.00545243	-116.7647695	1089	10	0	Payette
1238	Idaho	US	10/22/2020	44.00545243	-116.7647695	1098	10	0	Payette
1238	Idaho	US	10/23/2020	44.00545243	-116.7647695	1104	10	0	Payette
1238	Idaho	US	10/24/2020	44.00545243	-116.7647695	1112	10	0	Payette
1238	Idaho	US	10/25/2020	44.00545243	-116.7647695	1113	10	0	Payette
1238	Idaho	US	10/26/2020	44.00545243	-116.7647695	1116	10	0	Payette
1238	Idaho	US	10/27/2020	44.00545243	-116.7647695	1130	10	0	Payette
1239	Idaho	US	10/28/2020	44.00545243	-116.7647695	1137	10.0	0	Payette
1239	Idaho	US	10/29/2020	44.00545243	-116.7647695	1145	10	0	Payette
1239	Idaho	US	10/30/2020	44.00545243	-116.7647695	1162	10	0	Payette
1239	Idaho	US	10/31/2020	44.00545243	-116.7647695	1171	10	0	Payette
1239	Idaho	US	11/01/2020	44.00545243	-116.7647695	1174	10	0	Payette
