	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1970	Michigan	US	03/22/2020	43.64124435	-86.26726673	0	0	0	Oceana
2113	Michigan	US	03/23/2020	43.64124435	-86.26726673	0	0	0	Oceana
2113	Michigan	US	03/24/2020	43.64124435	-86.26726673	0	0	0	Oceana
2113	Michigan	US	03/25/2020	43.64124435	-86.26726673	0	0	0	Oceana
2112	Michigan	US	03/26/2020	43.64124435	-86.26726673	1	0	0	Oceana
2112	Michigan	US	03/27/2020	43.64124435	-86.26726673	1	0	0	Oceana
2112	Michigan	US	03/28/2020	43.64124435	-86.26726673	1	0	0	Oceana
2112	Michigan	US	03/29/2020	43.64124435	-86.26726673	2	0	0	Oceana
2112	Michigan	US	03/30/2020	43.64124435	-86.26726673	2	0	0	Oceana
1429	Michigan	US	03/31/2020	43.64124435	-86.26726673	2	0	0	Oceana
1466	Michigan	US	04/01/2020	43.64124435	-86.26726673	2	0	0	Oceana
1523	Michigan	US	04/02/2020	43.64124435	-86.26726673	2	0	0	Oceana
1555	Michigan	US	04/03/2020	43.64124435	-86.26726673	3	0	0	Oceana
1593	Michigan	US	04/04/2020	43.64124435	-86.26726673	3	0	0	Oceana
1645	Michigan	US	04/05/2020	43.64124435	-86.26726673	3	0	0	Oceana
1671	Michigan	US	04/06/2020	43.64124435	-86.26726673	3	0	0	Oceana
1708	Michigan	US	04/07/2020	43.64124435	-86.26726673	3	0	0	Oceana
1723	Michigan	US	04/08/2020	43.64124435	-86.26726673	3	1	0	Oceana
1743	Michigan	US	04/09/2020	43.64124435	-86.26726673	3	1	0	Oceana
1755	Michigan	US	04/10/2020	43.64124435	-86.26726673	3	1	0	Oceana
1773	Michigan	US	04/11/2020	43.64124435	-86.26726673	3	1	0	Oceana
1786	Michigan	US	04/12/2020	43.64124435	-86.26726673	3	1	0	Oceana
1800	Michigan	US	04/13/2020	43.64124435	-86.26726673	3	1	0	Oceana
1807	Michigan	US	04/14/2020	43.64124435	-86.26726673	3	1	0	Oceana
1817	Michigan	US	04/15/2020	43.64124435	-86.26726673	3	1	0	Oceana
1825	Michigan	US	04/16/2020	43.64124435	-86.26726673	3	1	0	Oceana
1827	Michigan	US	04/17/2020	43.64124435	-86.26726673	4	1	0	Oceana
1833	Michigan	US	04/18/2020	43.64124435	-86.26726673	3	1	0	Oceana
1844	Michigan	US	04/19/2020	43.64124435	-86.26726673	3	1	0	Oceana
1851	Michigan	US	04/20/2020	43.64124435	-86.26726673	3	1	0	Oceana
1859	Michigan	US	04/21/2020	43.64124435	-86.26726673	4	1	0	Oceana
1866	Michigan	US	04/22/2020	43.64124435	-86.26726673	4	1	0	Oceana
1877	Michigan	US	04/23/2020	43.64124435	-86.26726673	4	1	0	Oceana
1881	Michigan	US	04/24/2020	43.64124435	-86.26726673	4	1	0	Oceana
1885	Michigan	US	04/25/2020	43.64124435	-86.26726673	4	1	0	Oceana
1891	Michigan	US	04/26/2020	43.64124435	-86.26726673	5	1	0	Oceana
1894	Michigan	US	04/27/2020	43.64124435	-86.26726673	7	1	0	Oceana
1901	Michigan	US	04/28/2020	43.64124435	-86.26726673	8	1	0	Oceana
1904	Michigan	US	04/29/2020	43.64124435	-86.26726673	9	1	0	Oceana
1910	Michigan	US	04/30/2020	43.64124435	-86.26726673	9	1	0	Oceana
1919	Michigan	US	05/01/2020	43.64124435	-86.26726673	11	1	0	Oceana
1923	Michigan	US	05/02/2020	43.64124435	-86.26726673	14	1	0	Oceana
1926	Michigan	US	05/03/2020	43.64124435	-86.26726673	16	1	0	Oceana
1928	Michigan	US	05/04/2020	43.64124435	-86.26726673	19	1	0	Oceana
1934	Michigan	US	05/05/2020	43.64124435	-86.26726673	21	1	0	Oceana
1938	Michigan	US	05/06/2020	43.64124435	-86.26726673	22	1	0	Oceana
1942	Michigan	US	05/07/2020	43.64124435	-86.26726673	23	1	0	Oceana
1947	Michigan	US	05/08/2020	43.64124435	-86.26726673	24	1	0	Oceana
1948	Michigan	US	05/09/2020	43.64124435	-86.26726673	25	1	0	Oceana
1949	Michigan	US	05/10/2020	43.64124435	-86.26726673	28	1	0	Oceana
1949	Michigan	US	05/11/2020	43.64124435	-86.26726673	30	1	0	Oceana
1952	Michigan	US	05/12/2020	43.64124435	-86.26726673	34	1	0	Oceana
1952	Michigan	US	05/13/2020	43.64124435	-86.26726673	38	2	0	Oceana
1953	Michigan	US	05/14/2020	43.64124435	-86.26726673	44	2	0	Oceana
1957	Michigan	US	05/15/2020	43.64124435	-86.26726673	46	2	0	Oceana
1961	Michigan	US	05/16/2020	43.64124435	-86.26726673	47	2	0	Oceana
1963	Michigan	US	05/17/2020	43.64124435	-86.26726673	50	2	0	Oceana
1965	Michigan	US	05/18/2020	43.64124435	-86.26726673	54	2	0	Oceana
1967	Michigan	US	05/19/2020	43.64124435	-86.26726673	58	2	0	Oceana
1973	Michigan	US	05/20/2020	43.64124435	-86.26726673	66	2	0	Oceana
1974	Michigan	US	05/21/2020	43.64124435	-86.26726673	69	2	0	Oceana
1979	Michigan	US	05/22/2020	43.64124435	-86.26726673	73	2	0	Oceana
1981	Michigan	US	05/23/2020	43.64124435	-86.26726673	74	2	0	Oceana
1984	Michigan	US	05/24/2020	43.64124435	-86.26726673	82	2	0	Oceana
1984	Michigan	US	05/25/2020	43.64124435	-86.26726673	84	2	0	Oceana
1985	Michigan	US	05/26/2020	43.64124435	-86.26726673	85	2	0	Oceana
1987	Michigan	US	05/27/2020	43.64124435	-86.26726673	85	2	0	Oceana
1989	Michigan	US	05/28/2020	43.64124435	-86.26726673	85	2	0	Oceana
1992	Michigan	US	05/29/2020	43.64124435	-86.26726673	85	2	0	Oceana
1994	Michigan	US	05/30/2020	43.64124435	-86.26726673	85	2	0	Oceana
1995	Michigan	US	05/31/2020	43.64124435	-86.26726673	85	2	0	Oceana
1997	Michigan	US	06/01/2020	43.64124435	-86.26726673	87	2	0	Oceana
2001	Michigan	US	06/02/2020	43.64124435	-86.26726673	89	2	0	Oceana
2002	Michigan	US	06/03/2020	43.64124435	-86.26726673	92	2	0	Oceana
2003	Michigan	US	06/04/2020	43.64124435	-86.26726673	94	2	0	Oceana
2005	Michigan	US	06/05/2020	43.64124435	-86.26726673	102	2	0	Oceana
2006	Michigan	US	06/06/2020	43.64124435	-86.26726673	102	2	0	Oceana
2006	Michigan	US	06/07/2020	43.64124435	-86.26726673	101	2	0	Oceana
2006	Michigan	US	06/08/2020	43.64124435	-86.26726673	101	3	0	Oceana
2008	Michigan	US	06/09/2020	43.64124435	-86.26726673	102	3	0	Oceana
2010	Michigan	US	06/10/2020	43.64124435	-86.26726673	103	3	0	Oceana
2011	Michigan	US	06/11/2020	43.64124435	-86.26726673	103	3	0	Oceana
2021	Michigan	US	06/12/2020	43.64124435	-86.26726673	105	3	0	Oceana
2023	Michigan	US	06/13/2020	43.64124435	-86.26726673	107	3	0	Oceana
2023	Michigan	US	06/14/2020	43.64124435	-86.26726673	107	3	0	Oceana
2026	Michigan	US	06/15/2020	43.64124435	-86.26726673	112	3	0	Oceana
2024	Michigan	US	06/16/2020	43.64124435	-86.26726673	116	3	0	Oceana
2026	Michigan	US	06/17/2020	43.64124435	-86.26726673	119	3	0	Oceana
2026	Michigan	US	06/18/2020	43.64124435	-86.26726673	145	3	0	Oceana
2026	Michigan	US	06/19/2020	43.64124435	-86.26726673	163	3	0	Oceana
2030	Michigan	US	06/20/2020	43.64124435	-86.26726673	173	3	0	Oceana
2030	Michigan	US	06/21/2020	43.64124435	-86.26726673	176	3	0	Oceana
2032	Michigan	US	06/22/2020	43.64124435	-86.26726673	186	3	0	Oceana
2035	Michigan	US	06/23/2020	43.64124435	-86.26726673	199	3	0	Oceana
2043	Michigan	US	06/24/2020	43.64124435	-86.26726673	210	3	0	Oceana
2048	Michigan	US	06/25/2020	43.64124435	-86.26726673	222	3	0	Oceana
2049	Michigan	US	06/26/2020	43.64124435	-86.26726673	235	3	0	Oceana
2050	Michigan	US	06/27/2020	43.64124435	-86.26726673	249	3	0	Oceana
2050	Michigan	US	06/28/2020	43.64124435	-86.26726673	263	3	0	Oceana
2051	Michigan	US	06/29/2020	43.64124435	-86.26726673	280	3	0	Oceana
2052	Michigan	US	06/30/2020	43.64124435	-86.26726673	287	3	0	Oceana
2052	Michigan	US	07/01/2020	43.64124435	-86.26726673	292	3	0	Oceana
2054	Michigan	US	07/02/2020	43.64124435	-86.26726673	307	3	0	Oceana
2057	Michigan	US	07/03/2020	43.64124435	-86.26726673	320	3	0	Oceana
2057	Michigan	US	07/04/2020	43.64124435	-86.26726673	342	4	0	Oceana
