	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
744	Out of AZ	0	US	0			Arizona	0	11/03/2020
744	Out of AZ	0	US	0			Arizona	0	11/04/2020
744	Out of AZ	0	US	0			Arizona	0	11/05/2020
744	Out of AZ	0	US	0			Arizona	0	11/06/2020
744	Out of AZ	0	US	0			Arizona	0	11/07/2020
744	Out of AZ	0	US	0			Arizona	0	11/08/2020
744	Out of AZ	0	US	0			Arizona	0.0	11/09/2020
744	Out of AZ	0	US	0			Arizona	0.0	11/10/2020
744	Out of AZ	0	US	0			Arizona	0.0	11/11/2020
756	Out of AZ	0	US	0			Arizona	0	11/12/2020
756	Out of AZ	0	US	0			Arizona	0	11/13/2020
756	Out of AZ	0	US	0			Arizona	0	11/14/2020
756	Out of AZ	0	US	0			Arizona	0	11/15/2020
756	Out of AZ	0	US	0			Arizona	0	11/16/2020
756	Out of AZ	0	US	0			Arizona	0	11/17/2020
756	Out of AZ	0	US	0			Arizona	0	11/18/2020
756	Out of AZ	0	US	0			Arizona	0	11/19/2020
756	Out of AZ	0	US	0			Arizona	0	11/20/2020
756	Out of AZ	0	US	0			Arizona	0	11/21/2020
756	Out of AZ	0	US	0			Arizona	0	11/22/2020
756	Out of AZ	0	US	0			Arizona	0	11/23/2020
757	Out of AZ	0	US	0			Arizona	0	11/24/2020
757	Out of AZ	0	US	0			Arizona	0	11/25/2020
757	Out of AZ	0	US	0			Arizona	0	11/26/2020
757	Out of AZ	0	US	0			Arizona	0	11/27/2020
757	Out of AZ	0	US	0			Arizona	0	11/28/2020
757	Out of AZ	0	US	0			Arizona	0	11/29/2020
757	Out of AZ	0	US	0			Arizona	0	11/30/2020
757	Out of AZ	0	US	0			Arizona	0	12/01/2020
757	Out of AZ	0	US	0			Arizona	0	12/02/2020
757	Out of AZ	0	US	0			Arizona	0	12/03/2020
757	Out of AZ	0	US	0			Arizona	0	12/04/2020
757	Out of AZ	0	US	0			Arizona	0	12/05/2020
757	Out of AZ	0	US	0			Arizona	0	12/06/2020
757	Out of AZ	0	US	0			Arizona	0	12/07/2020
757	Out of AZ	0	US	0			Arizona	0	12/08/2020
757	Out of AZ	0	US	0			Arizona	0	12/09/2020
757	Out of AZ	0	US	0			Arizona	0	12/10/2020
757	Out of AZ	0	US	0			Arizona	0	12/11/2020
757	Out of AZ	0	US	0			Arizona	0	12/12/2020
757	Out of AZ	0	US	0			Arizona	0	12/13/2020
757	Out of AZ	0	US	0			Arizona	0	12/14/2020
757	Out of AZ	0	US	0			Arizona	0	12/15/2020
757	Out of AZ	0	US	0			Arizona	0	12/16/2020
757	Out of AZ	0	US	0			Arizona	0	12/17/2020
757	Out of AZ	0	US	0			Arizona	0	12/18/2020
757	Out of AZ	0	US	0			Arizona	0	12/19/2020
757	Out of AZ	0	US	0			Arizona	0	12/20/2020
757	Out of AZ	0	US	0			Arizona	0	12/21/2020
757	Out of AZ	0	US	0			Arizona	0	12/22/2020
757	Out of AZ	0	US	0			Arizona	0	12/23/2020
757	Out of AZ	0	US	0			Arizona	0	12/24/2020
757	Out of AZ	0	US	0			Arizona	0	12/25/2020
757	Out of AZ	0	US	0			Arizona	0	12/26/2020
757	Out of AZ	0	US	0			Arizona	0	12/27/2020
757	Out of AZ	0	US	0			Arizona	0	12/28/2020
757	Out of AZ	0	US	0			Arizona	0	12/29/2020
757	Out of AZ	0	US	0			Arizona	0	12/30/2020
757	Out of AZ	0	US	0			Arizona	0	12/31/2020
757	Out of AZ	0	US	0			Arizona	0	01/01/2021
757	Out of AZ	0	US	0			Arizona	0	01/02/2021
758	Out of AZ	0	US	0			Arizona	0	01/03/2021
758	Out of AZ	0	US	0			Arizona	0	01/04/2021
758	Out of AZ	0	US	0			Arizona	0	01/05/2021
758	Out of AZ	0	US	0			Arizona	0	01/06/2021
758	Out of AZ	0	US	0			Arizona	0	01/07/2021
758	Out of AZ	0	US	0			Arizona	0	01/08/2021
758	Out of AZ	0	US	0			Arizona	0	01/09/2021
758	Out of AZ	0	US	0			Arizona	0	01/10/2021
758	Out of AZ	0	US	0			Arizona	0	01/11/2021
758	Out of AZ	0	US	0			Arizona	0	01/12/2021
758	Out of AZ	0	US	0			Arizona	0	01/13/2021
758	Out of AZ	0	US	0			Arizona	0	01/14/2021
758	Out of AZ	0	US	0			Arizona	0	01/15/2021
758	Out of AZ	0	US	0			Arizona	0	01/16/2021
758	Out of AZ	0	US	0			Arizona	0	01/17/2021
758	Out of AZ	0	US	0			Arizona	0	01/18/2021
758	Out of AZ	0	US	0			Arizona	0	01/19/2021
758	Out of AZ	0	US	0			Arizona	0	01/20/2021
759	Out of AZ	0	US	0			Arizona	0	01/21/2021
759	Out of AZ	0	US	0			Arizona	0	01/22/2021
759	Out of AZ	0	US	0			Arizona	0	01/23/2021
759	Out of AZ	0	US	0			Arizona	0	01/24/2021
759	Out of AZ	0	US	0			Arizona	0	01/25/2021
759	Out of AZ	0	US	0			Arizona	0	01/26/2021
759	Out of AZ	0	US	0			Arizona	0	01/27/2021
759	Out of AZ	0	US	0			Arizona	0	01/28/2021
759	Out of AZ	0	US	0			Arizona	0	01/29/2021
759	Out of AZ	0	US	0			Arizona	0	01/30/2021
759	Out of AZ	0	US	0			Arizona	0	01/31/2021
759	Out of AZ	0	US	0			Arizona	0	02/01/2021
759	Out of AZ	0	US	0			Arizona	0	02/02/2021
759	Out of AZ	0	US	0			Arizona	0	02/03/2021
759	Out of AZ	0	US	0			Arizona	0	02/04/2021
759	Out of AZ	0	US	0			Arizona	0	02/05/2021
759	Out of AZ	0	US	0			Arizona	0	02/06/2021
759	Out of AZ	0	US	0			Arizona	0	02/07/2021
759	Out of AZ	0	US	0			Arizona	0	02/08/2021
759	Out of AZ	0	US	0			Arizona	0	02/09/2021
759	Out of AZ	0	US	0			Arizona	0	02/10/2021
759	Out of AZ	0	US	0			Arizona	0	02/11/2021
759	Out of AZ	0	US	0			Arizona	0	02/12/2021
759	Out of AZ	0	US	0			Arizona	0	02/13/2021
759	Out of AZ	0	US	0			Arizona	0	02/14/2021
759	Out of AZ	0	US	0			Arizona	0	02/15/2021
759	Out of AZ	0	US	0			Arizona	0	02/16/2021
759	Out of AZ	0	US	0			Arizona	0	02/17/2021
759	Out of AZ	0	US	0			Arizona	0	02/18/2021
760	Out of AZ	0	US	0			Arizona	0	02/19/2021
760	Out of AZ	0	US	0			Arizona	0	02/20/2021
760	Out of AZ	0	US	0			Arizona	0	02/21/2021
760	Out of AZ	0	US	0			Arizona	0	02/22/2021
760	Out of AZ	0	US	0			Arizona	0	02/23/2021
760	Out of AZ	0	US	0			Arizona	0	02/24/2021
760	Out of AZ	0	US	0			Arizona	0	02/25/2021
760	Out of AZ	0	US	0			Arizona	0	02/26/2021
760	Out of AZ	0	US	0			Arizona	0	02/27/2021
760	Out of AZ	0	US	0			Arizona	0	02/28/2021
760	Out of AZ	0	US	0			Arizona	0	03/01/2021
760	Out of AZ	0	US	0			Arizona	0	03/02/2021
760	Out of AZ	0	US	0			Arizona	0	03/03/2021
760	Out of AZ	0	US	0			Arizona	0	03/04/2021
760	Out of AZ	0	US	0			Arizona	0	03/05/2021
760	Out of AZ	0	US	0			Arizona	0	03/06/2021
760	Out of AZ	0	US	0			Arizona		03/07/2021
760	Out of AZ	0	US	0			Arizona		03/08/2021
760	Out of AZ	0	US	0			Arizona		03/09/2021
760	Out of AZ	0	US	0			Arizona		03/10/2021
760	Out of AZ	0	US	0			Arizona		03/11/2021
760	Out of AZ	0	US	0			Arizona		03/12/2021
760	Out of AZ	0	US	0			Arizona		03/13/2021
760	Out of AZ	0	US	0			Arizona		03/14/2021
760	Out of AZ	0	US	0			Arizona		03/15/2021
760	Out of AZ	0	US	0			Arizona		03/16/2021
760	Out of AZ	0	US	0			Arizona		03/17/2021
760	Out of AZ	0	US	0			Arizona		03/18/2021
760	Out of AZ	0	US	0			Arizona		03/19/2021
760	Out of AZ	0	US	0			Arizona		03/20/2021
760	Out of AZ	0	US	0			Arizona		03/21/2021
760	Out of AZ	0	US	0			Arizona		03/22/2021
760	Out of AZ	0	US	0			Arizona		03/23/2021
760	Out of AZ	0	US	0			Arizona		03/24/2021
760	Out of AZ	0	US	0			Arizona		03/25/2021
760	Out of AZ	0	US	0			Arizona		03/26/2021
760	Out of AZ	0	US	0			Arizona		03/27/2021
760	Out of AZ	0	US	0			Arizona		03/28/2021
760	Out of AZ	0	US	0			Arizona		03/29/2021
