	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1332	Colorado	US	03/22/2020	38.08054629	-106.282466	0	0	0	Saguache
2494	Colorado	US	03/23/2020	38.08054629	-106.282466	0	0	0	Saguache
2494	Colorado	US	03/24/2020	38.08054629	-106.282466	0	0	0	Saguache
2494	Colorado	US	03/25/2020	38.08054629	-106.282466	0	0	0	Saguache
2493	Colorado	US	03/26/2020	38.08054629	-106.282466	0	0	0	Saguache
2493	Colorado	US	03/27/2020	38.08054629	-106.282466	0	0	0	Saguache
2493	Colorado	US	03/28/2020	38.08054629	-106.282466	0	0	0	Saguache
2493	Colorado	US	03/29/2020	38.08054629	-106.282466	0	0	0	Saguache
2493	Colorado	US	03/30/2020	38.08054629	-106.282466	0	0	0	Saguache
1673	Colorado	US	03/31/2020	38.08054629	-106.282466	1	0	0	Saguache
1715	Colorado	US	04/01/2020	38.08054629	-106.282466	3	0	0	Saguache
1779	Colorado	US	04/02/2020	38.08054629	-106.282466	3	0	0	Saguache
1823	Colorado	US	04/03/2020	38.08054629	-106.282466	3	0	0	Saguache
1868	Colorado	US	04/04/2020	38.08054629	-106.282466	3	0	0	Saguache
1934	Colorado	US	04/05/2020	38.08054629	-106.282466	3	0	0	Saguache
1967	Colorado	US	04/06/2020	38.08054629	-106.282466	3	0	0	Saguache
2008	Colorado	US	04/07/2020	38.08054629	-106.282466	3	0	0	Saguache
2028	Colorado	US	04/08/2020	38.08054629	-106.282466	3	0	0	Saguache
2051	Colorado	US	04/09/2020	38.08054629	-106.282466	3	0	0	Saguache
2070	Colorado	US	04/10/2020	38.08054629	-106.282466	3	0	0	Saguache
2094	Colorado	US	04/11/2020	38.08054629	-106.282466	3	0	0	Saguache
2111	Colorado	US	04/12/2020	38.08054629	-106.282466	3	0	0	Saguache
2125	Colorado	US	04/13/2020	38.08054629	-106.282466	3	0	0	Saguache
2133	Colorado	US	04/14/2020	38.08054629	-106.282466	3	0	0	Saguache
2144	Colorado	US	04/15/2020	38.08054629	-106.282466	3	0	0	Saguache
2156	Colorado	US	04/16/2020	38.08054629	-106.282466	3	0	0	Saguache
2158	Colorado	US	04/17/2020	38.08054629	-106.282466	3	0	0	Saguache
2165	Colorado	US	04/18/2020	38.08054629	-106.282466	3	0	0	Saguache
2178	Colorado	US	04/19/2020	38.08054629	-106.282466	3	0	0	Saguache
2185	Colorado	US	04/20/2020	38.08054629	-106.282466	3	0	0	Saguache
2194	Colorado	US	04/21/2020	38.08054629	-106.282466	3	0	0	Saguache
2201	Colorado	US	04/22/2020	38.08054629	-106.282466	3	0	0	Saguache
2215	Colorado	US	04/23/2020	38.08054629	-106.282466	3	0	0	Saguache
2220	Colorado	US	04/24/2020	38.08054629	-106.282466	3	0	0	Saguache
2225	Colorado	US	04/25/2020	38.08054629	-106.282466	3	0	0	Saguache
2232	Colorado	US	04/26/2020	38.08054629	-106.282466	3	0	0	Saguache
2238	Colorado	US	04/27/2020	38.08054629	-106.282466	3	0	0	Saguache
2247	Colorado	US	04/28/2020	38.08054629	-106.282466	5	0	0	Saguache
2250	Colorado	US	04/29/2020	38.08054629	-106.282466	5	0	0	Saguache
2256	Colorado	US	04/30/2020	38.08054629	-106.282466	5	0	0	Saguache
2267	Colorado	US	05/01/2020	38.08054629	-106.282466	5	0	0	Saguache
2271	Colorado	US	05/02/2020	38.08054629	-106.282466	6	0	0	Saguache
2275	Colorado	US	05/03/2020	38.08054629	-106.282466	8	0	0	Saguache
2278	Colorado	US	05/04/2020	38.08054629	-106.282466	9	1	0	Saguache
2285	Colorado	US	05/05/2020	38.08054629	-106.282466	9	1	0	Saguache
2290	Colorado	US	05/06/2020	38.08054629	-106.282466	14	1	0	Saguache
2294	Colorado	US	05/07/2020	38.08054629	-106.282466	18	1	0	Saguache
2301	Colorado	US	05/08/2020	38.08054629	-106.282466	23	1	0	Saguache
2302	Colorado	US	05/09/2020	38.08054629	-106.282466	26	1	0	Saguache
2304	Colorado	US	05/10/2020	38.08054629	-106.282466	27	1	0	Saguache
2304	Colorado	US	05/11/2020	38.08054629	-106.282466	27	1	0	Saguache
2307	Colorado	US	05/12/2020	38.08054629	-106.282466	31	1	0	Saguache
2308	Colorado	US	05/13/2020	38.08054629	-106.282466	36	1	0	Saguache
2309	Colorado	US	05/14/2020	38.08054629	-106.282466	45	2	0	Saguache
2313	Colorado	US	05/15/2020	38.08054629	-106.282466	47	2	0	Saguache
2318	Colorado	US	05/16/2020	38.08054629	-106.282466	53	2	0	Saguache
2320	Colorado	US	05/17/2020	38.08054629	-106.282466	54	2	0	Saguache
2322	Colorado	US	05/18/2020	38.08054629	-106.282466	62	2	0	Saguache
2325	Colorado	US	05/19/2020	38.08054629	-106.282466	63	2	0	Saguache
2331	Colorado	US	05/20/2020	38.08054629	-106.282466	69	2	0	Saguache
2332	Colorado	US	05/21/2020	38.08054629	-106.282466	70	2	0	Saguache
2336	Colorado	US	05/22/2020	38.08054629	-106.282466	78	2	0	Saguache
2338	Colorado	US	05/23/2020	38.08054629	-106.282466	80	2	0	Saguache
2341	Colorado	US	05/24/2020	38.08054629	-106.282466	82	2	0	Saguache
2342	Colorado	US	05/25/2020	38.08054629	-106.282466	82	2	0	Saguache
2343	Colorado	US	05/26/2020	38.08054629	-106.282466	82	2	0	Saguache
2346	Colorado	US	05/27/2020	38.08054629	-106.282466	82	2	0	Saguache
2348	Colorado	US	05/28/2020	38.08054629	-106.282466	87	2	0	Saguache
2351	Colorado	US	05/29/2020	38.08054629	-106.282466	90	2	0	Saguache
2353	Colorado	US	05/30/2020	38.08054629	-106.282466	91	2	0	Saguache
2354	Colorado	US	05/31/2020	38.08054629	-106.282466	91	2	0	Saguache
2356	Colorado	US	06/01/2020	38.08054629	-106.282466	91	2	0	Saguache
2361	Colorado	US	06/02/2020	38.08054629	-106.282466	91	2	0	Saguache
2363	Colorado	US	06/03/2020	38.08054629	-106.282466	93	2	0	Saguache
2364	Colorado	US	06/04/2020	38.08054629	-106.282466	93	2	0	Saguache
2367	Colorado	US	06/05/2020	38.08054629	-106.282466	94	2	0	Saguache
2368	Colorado	US	06/06/2020	38.08054629	-106.282466	94	2	0	Saguache
2368	Colorado	US	06/07/2020	38.08054629	-106.282466	95	2	0	Saguache
2368	Colorado	US	06/08/2020	38.08054629	-106.282466	96	2	0	Saguache
2369	Colorado	US	06/09/2020	38.08054629	-106.282466	96	2	0	Saguache
2371	Colorado	US	06/10/2020	38.08054629	-106.282466	96	2	0	Saguache
2372	Colorado	US	06/11/2020	38.08054629	-106.282466	97	2	0	Saguache
2384	Colorado	US	06/12/2020	38.08054629	-106.282466	99	2	0	Saguache
2386	Colorado	US	06/13/2020	38.08054629	-106.282466	99	2	0	Saguache
2386	Colorado	US	06/14/2020	38.08054629	-106.282466	99	2	0	Saguache
2389	Colorado	US	06/15/2020	38.08054629	-106.282466	100	2	0	Saguache
2387	Colorado	US	06/16/2020	38.08054629	-106.282466	100	2	0	Saguache
2389	Colorado	US	06/17/2020	38.08054629	-106.282466	101	2	0	Saguache
2389	Colorado	US	06/18/2020	38.08054629	-106.282466	103	2	0	Saguache
2389	Colorado	US	06/19/2020	38.08054629	-106.282466	103	2	0	Saguache
2393	Colorado	US	06/20/2020	38.08054629	-106.282466	103	2	0	Saguache
2393	Colorado	US	06/21/2020	38.08054629	-106.282466	103	2	0	Saguache
2395	Colorado	US	06/22/2020	38.08054629	-106.282466	103	2	0	Saguache
2399	Colorado	US	06/23/2020	38.08054629	-106.282466	104	2	0	Saguache
2410	Colorado	US	06/24/2020	38.08054629	-106.282466	104	2	0	Saguache
2415	Colorado	US	06/25/2020	38.08054629	-106.282466	104	2	0	Saguache
2416	Colorado	US	06/26/2020	38.08054629	-106.282466	104	2	0	Saguache
2417	Colorado	US	06/27/2020	38.08054629	-106.282466	104	2	0	Saguache
2417	Colorado	US	06/28/2020	38.08054629	-106.282466	104	2	0	Saguache
2419	Colorado	US	06/29/2020	38.08054629	-106.282466	104	2	0	Saguache
2421	Colorado	US	06/30/2020	38.08054629	-106.282466	104	2	0	Saguache
2423	Colorado	US	07/01/2020	38.08054629	-106.282466	104	2	0	Saguache
2425	Colorado	US	07/02/2020	38.08054629	-106.282466	104	2	0	Saguache
2428	Colorado	US	07/03/2020	38.08054629	-106.282466	104	2	0	Saguache
2429	Colorado	US	07/04/2020	38.08054629	-106.282466	104	2	0	Saguache
2429	Colorado	US	07/05/2020	38.08054629	-106.282466	104	2	0	Saguache
2432	Colorado	US	07/06/2020	38.08054629	-106.282466	104	2	0	Saguache
2432	Colorado	US	07/07/2020	38.08054629	-106.282466	104	2	0	Saguache
2435	Colorado	US	07/08/2020	38.08054629	-106.282466	105	2	0	Saguache
2434	Colorado	US	07/09/2020	38.08054629	-106.282466	105	2	0	Saguache
2438	Colorado	US	07/10/2020	38.08054629	-106.282466	105	2	0	Saguache
2439	Colorado	US	07/11/2020	38.08054629	-106.282466	105	2	0	Saguache
2441	Colorado	US	07/12/2020	38.08054629	-106.282466	105	2	0	Saguache
2443	Colorado	US	07/13/2020	38.08054629	-106.282466	105	2	0	Saguache
2446	Colorado	US	07/14/2020	38.08054629	-106.282466	105	2	0	Saguache
2446	Colorado	US	07/15/2020	38.08054629	-106.282466	105	2	0	Saguache
2448	Colorado	US	07/16/2020	38.08054629	-106.282466	105	2	0	Saguache
2448	Colorado	US	07/17/2020	38.08054629	-106.282466	106	2	0	Saguache
2511	Colorado	US	07/18/2020	38.08054629	-106.282466	106	2	0	Saguache
2511	Colorado	US	07/19/2020	38.08054629	-106.282466	106	2	0	Saguache
2445	Colorado	US	07/20/2020	38.08054629	-106.282466	106	2	0	Saguache
2515	Colorado	US	07/21/2020	38.08054629	-106.282466	106	2	0	Saguache
2516	Colorado	US	07/22/2020	38.08054629	-106.282466	106	2	0	Saguache
2519	Colorado	US	07/23/2020	38.08054629	-106.282466	106	2	0	Saguache
2518	Colorado	US	07/24/2020	38.08054629	-106.282466	106	2	0	Saguache
2519	Colorado	US	07/25/2020	38.08054629	-106.282466	106	2	0	Saguache
2520	Colorado	US	07/26/2020	38.08054629	-106.282466	106	2	0	Saguache
2520	Colorado	US	07/27/2020	38.08054629	-106.282466	106	2	0	Saguache
2520	Colorado	US	07/28/2020	38.08054629	-106.282466	106	2	0	Saguache
2524	Colorado	US	07/29/2020	38.08054629	-106.282466	106	2	0	Saguache
2524	Colorado	US	07/30/2020	38.08054629	-106.282466	106	2	0	Saguache
2526	Colorado	US	07/31/2020	38.08054629	-106.282466	106	2	0	Saguache
2526	Colorado	US	08/01/2020	38.08054629	-106.282466	106	2	0	Saguache
2526	Colorado	US	08/02/2020	38.08054629	-106.282466	107	2	0	Saguache
2526	Colorado	US	08/03/2020	38.08054629	-106.282466	107	2	0	Saguache
2527	Colorado	US	08/04/2020	38.08054629	-106.282466	107	2	0	Saguache
2531	Colorado	US	08/05/2020	38.08054629	-106.282466	107	2	0	Saguache
2531	Colorado	US	08/06/2020	38.08054629	-106.282466	107	2	0	Saguache
2531	Colorado	US	08/07/2020	38.08054629	-106.282466	107	2	0	Saguache
2531	Colorado	US	08/08/2020	38.08054629	-106.282466	107	2	0	Saguache
2531	Colorado	US	08/09/2020	38.08054629	-106.282466	107	2	0	Saguache
2531	Colorado	US	08/10/2020	38.08054629	-106.282466	107	2	0	Saguache
980	Colorado	US	08/11/2020	38.08054629	-106.282466	107	2	0	Saguache
934	Colorado	US	08/12/2020	38.08054629	-106.282466	107	2	0	Saguache
934	Colorado	US	08/13/2020	38.08054629	-106.282466	107	2	0	Saguache
934	Colorado	US	08/14/2020	38.08054629	-106.282466	108	2	0	Saguache
934	Colorado	US	08/15/2020	38.08054629	-106.282466	108	2	0	Saguache
934	Colorado	US	08/16/2020	38.08054629	-106.282466	108	2	0	Saguache
934	Colorado	US	08/17/2020	38.08054629	-106.282466	108	2	0	Saguache
934	Colorado	US	08/18/2020	38.08054629	-106.282466	108	2	0	Saguache
934	Colorado	US	08/19/2020	38.08054629	-106.282466	108	2	0	Saguache
934	Colorado	US	08/20/2020	38.08054629	-106.282466	108	2	0	Saguache
934	Colorado	US	08/21/2020	38.08054629	-106.282466	109	2	0	Saguache
935	Colorado	US	08/22/2020	38.08054629	-106.282466	109	2	0	Saguache
935	Colorado	US	08/23/2020	38.08054629	-106.282466	110	2	0	Saguache
935	Colorado	US	08/24/2020	38.08054629	-106.282466	110	2	0	Saguache
935	Colorado	US	08/25/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	08/26/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	08/27/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	08/28/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	08/29/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	08/30/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	08/31/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/01/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/02/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/03/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/04/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/05/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/06/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/07/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/08/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/09/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/10/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/11/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/12/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/13/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/14/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/15/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/16/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/17/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/18/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/19/2020	38.08054629	-106.282466	111	2	0	Saguache
935	Colorado	US	09/20/2020	38.08054629	-106.282466	111	2	0	Saguache
936	Colorado	US	09/21/2020	38.08054629	-106.282466	111	2	0	Saguache
936	Colorado	US	09/22/2020	38.08054629	-106.282466	111	2	0	Saguache
936	Colorado	US	09/23/2020	38.08054629	-106.282466	111	2	0	Saguache
936	Colorado	US	09/24/2020	38.08054629	-106.282466	111	2	0	Saguache
936	Colorado	US	09/25/2020	38.08054629	-106.282466	111	2	0	Saguache
936	Colorado	US	09/26/2020	38.08054629	-106.282466	112	2	0	Saguache
936	Colorado	US	09/27/2020	38.08054629	-106.282466	112	2	0	Saguache
936	Colorado	US	09/28/2020	38.08054629	-106.282466	113	2	0	Saguache
936	Colorado	US	09/29/2020	38.08054629	-106.282466	113	2	0	Saguache
936	Colorado	US	09/30/2020	38.08054629	-106.282466	113	2	0	Saguache
936	Colorado	US	10/01/2020	38.08054629	-106.282466	115	2	0	Saguache
936	Colorado	US	10/02/2020	38.08054629	-106.282466	116	2	0	Saguache
936	Colorado	US	10/03/2020	38.08054629	-106.282466	116	2	0	Saguache
936	Colorado	US	10/04/2020	38.08054629	-106.282466	116	2	0	Saguache
936	Colorado	US	10/05/2020	38.08054629	-106.282466	116	2	0	Saguache
936	Colorado	US	10/06/2020	38.08054629	-106.282466	116	2	0	Saguache
936	Colorado	US	10/07/2020	38.08054629	-106.282466	117	2	0	Saguache
936	Colorado	US	10/08/2020	38.08054629	-106.282466	118	2	0	Saguache
936	Colorado	US	10/09/2020	38.08054629	-106.282466	119	2	0	Saguache
936	Colorado	US	10/10/2020	38.08054629	-106.282466	128	2	0	Saguache
936	Colorado	US	10/11/2020	38.08054629	-106.282466	128	2	0	Saguache
937	Colorado	US	10/12/2020	38.08054629	-106.282466	130	2	0	Saguache
937	Colorado	US	10/13/2020	38.08054629	-106.282466	130	2	0	Saguache
937	Colorado	US	10/14/2020	38.08054629	-106.282466	131	2	0	Saguache
937	Colorado	US	10/15/2020	38.08054629	-106.282466	131	2	0	Saguache
938	Colorado	US	10/16/2020	38.08054629	-106.282466	131	2	0	Saguache
938	Colorado	US	10/17/2020	38.08054629	-106.282466	133	2	0	Saguache
938	Colorado	US	10/18/2020	38.08054629	-106.282466	135	2	0	Saguache
939	Colorado	US	10/19/2020	38.08054629	-106.282466	137	2	0	Saguache
939	Colorado	US	10/20/2020	38.08054629	-106.282466	140	2	0	Saguache
939	Colorado	US	10/21/2020	38.08054629	-106.282466	140	2	0	Saguache
939	Colorado	US	10/22/2020	38.08054629	-106.282466	141	2	0	Saguache
939	Colorado	US	10/23/2020	38.08054629	-106.282466	141	2	0	Saguache
939	Colorado	US	10/24/2020	38.08054629	-106.282466	141	2	0	Saguache
939	Colorado	US	10/25/2020	38.08054629	-106.282466	142	2	0	Saguache
939	Colorado	US	10/26/2020	38.08054629	-106.282466	144	2	0	Saguache
939	Colorado	US	10/27/2020	38.08054629	-106.282466	145	2	0	Saguache
940	Colorado	US	10/28/2020	38.08054629	-106.282466	151	2.0	0	Saguache
940	Colorado	US	10/29/2020	38.08054629	-106.282466	151	2	0	Saguache
