	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2913	Texas	US	03/22/2020	32.30163422	-99.89007449	0	0	0	Taylor
2773	Texas	US	03/23/2020	32.30163422	-99.89007449	0	0	0	Taylor
2773	Texas	US	03/24/2020	32.30163422	-99.89007449	0	0	0	Taylor
2773	Texas	US	03/25/2020	32.30163422	-99.89007449	0	0	0	Taylor
2772	Texas	US	03/26/2020	32.30163422	-99.89007449	1	0	0	Taylor
2772	Texas	US	03/27/2020	32.30163422	-99.89007449	2	0	0	Taylor
2772	Texas	US	03/28/2020	32.30163422	-99.89007449	3	0	0	Taylor
2772	Texas	US	03/29/2020	32.30163422	-99.89007449	9	0	0	Taylor
2772	Texas	US	03/30/2020	32.30163422	-99.89007449	11	0	0	Taylor
1874	Texas	US	03/31/2020	32.30163422	-99.89007449	14	0	0	Taylor
1920	Texas	US	04/01/2020	32.30163422	-99.89007449	14	0	0	Taylor
1988	Texas	US	04/02/2020	32.30163422	-99.89007449	18	0	0	Taylor
2032	Texas	US	04/03/2020	32.30163422	-99.89007449	23	0	0	Taylor
2083	Texas	US	04/04/2020	32.30163422	-99.89007449	27	1	0	Taylor
2155	Texas	US	04/05/2020	32.30163422	-99.89007449	31	1	0	Taylor
2190	Texas	US	04/06/2020	32.30163422	-99.89007449	31	1	0	Taylor
2236	Texas	US	04/07/2020	32.30163422	-99.89007449	38	1	0	Taylor
2259	Texas	US	04/08/2020	32.30163422	-99.89007449	38	1	0	Taylor
2284	Texas	US	04/09/2020	32.30163422	-99.89007449	51	1	0	Taylor
2308	Texas	US	04/10/2020	32.30163422	-99.89007449	55	1	0	Taylor
2332	Texas	US	04/11/2020	32.30163422	-99.89007449	55	1	0	Taylor
2352	Texas	US	04/12/2020	32.30163422	-99.89007449	59	1	0	Taylor
2366	Texas	US	04/13/2020	32.30163422	-99.89007449	68	1	0	Taylor
2375	Texas	US	04/14/2020	32.30163422	-99.89007449	68	1	0	Taylor
2387	Texas	US	04/15/2020	32.30163422	-99.89007449	74	1	0	Taylor
2400	Texas	US	04/16/2020	32.30163422	-99.89007449	79	2	0	Taylor
2403	Texas	US	04/17/2020	32.30163422	-99.89007449	89	2	0	Taylor
2410	Texas	US	04/18/2020	32.30163422	-99.89007449	126	2	0	Taylor
2425	Texas	US	04/19/2020	32.30163422	-99.89007449	142	2	0	Taylor
2433	Texas	US	04/20/2020	32.30163422	-99.89007449	144	2	0	Taylor
2442	Texas	US	04/21/2020	32.30163422	-99.89007449	144	3	0	Taylor
2449	Texas	US	04/22/2020	32.30163422	-99.89007449	164	3	0	Taylor
2466	Texas	US	04/23/2020	32.30163422	-99.89007449	191	3	0	Taylor
2472	Texas	US	04/24/2020	32.30163422	-99.89007449	203	3	0	Taylor
2477	Texas	US	04/25/2020	32.30163422	-99.89007449	203	3	0	Taylor
2485	Texas	US	04/26/2020	32.30163422	-99.89007449	216	3	0	Taylor
2492	Texas	US	04/27/2020	32.30163422	-99.89007449	222	3	0	Taylor
2501	Texas	US	04/28/2020	32.30163422	-99.89007449	255	3	0	Taylor
2506	Texas	US	04/29/2020	32.30163422	-99.89007449	277	3	0	Taylor
2512	Texas	US	04/30/2020	32.30163422	-99.89007449	291	5	0	Taylor
2523	Texas	US	05/01/2020	32.30163422	-99.89007449	319	5	0	Taylor
2526	Texas	US	05/02/2020	32.30163422	-99.89007449	327	5	0	Taylor
2531	Texas	US	05/03/2020	32.30163422	-99.89007449	348	5	0	Taylor
2534	Texas	US	05/04/2020	32.30163422	-99.89007449	349	5	0	Taylor
2542	Texas	US	05/05/2020	32.30163422	-99.89007449	356	5	0	Taylor
2547	Texas	US	05/06/2020	32.30163422	-99.89007449	378	6	0	Taylor
2553	Texas	US	05/07/2020	32.30163422	-99.89007449	206	6	0	Taylor
2560	Texas	US	05/08/2020	32.30163422	-99.89007449	207	6	0	Taylor
2561	Texas	US	05/09/2020	32.30163422	-99.89007449	208	6	0	Taylor
2563	Texas	US	05/10/2020	32.30163422	-99.89007449	208	6	0	Taylor
2563	Texas	US	05/11/2020	32.30163422	-99.89007449	208	6	0	Taylor
2566	Texas	US	05/12/2020	32.30163422	-99.89007449	210	6	0	Taylor
2567	Texas	US	05/13/2020	32.30163422	-99.89007449	213	6	0	Taylor
2568	Texas	US	05/14/2020	32.30163422	-99.89007449	214	6	0	Taylor
2572	Texas	US	05/15/2020	32.30163422	-99.89007449	215	6	0	Taylor
2576	Texas	US	05/16/2020	32.30163422	-99.89007449	217	6	0	Taylor
2579	Texas	US	05/17/2020	32.30163422	-99.89007449	217	6	0	Taylor
2581	Texas	US	05/18/2020	32.30163422	-99.89007449	217	6	0	Taylor
2585	Texas	US	05/19/2020	32.30163422	-99.89007449	222	6	0	Taylor
2591	Texas	US	05/20/2020	32.30163422	-99.89007449	225	6	0	Taylor
2592	Texas	US	05/21/2020	32.30163422	-99.89007449	225	6	0	Taylor
2598	Texas	US	05/22/2020	32.30163422	-99.89007449	228	5	0	Taylor
2600	Texas	US	05/23/2020	32.30163422	-99.89007449	228	5	0	Taylor
2603	Texas	US	05/24/2020	32.30163422	-99.89007449	228	5	0	Taylor
2604	Texas	US	05/25/2020	32.30163422	-99.89007449	230	5	0	Taylor
2605	Texas	US	05/26/2020	32.30163422	-99.89007449	230	5	0	Taylor
2608	Texas	US	05/27/2020	32.30163422	-99.89007449	230	5	0	Taylor
2611	Texas	US	05/28/2020	32.30163422	-99.89007449	231	5	0	Taylor
2614	Texas	US	05/29/2020	32.30163422	-99.89007449	231	5	0	Taylor
2616	Texas	US	05/30/2020	32.30163422	-99.89007449	234	5	0	Taylor
2617	Texas	US	05/31/2020	32.30163422	-99.89007449	235	5	0	Taylor
2619	Texas	US	06/01/2020	32.30163422	-99.89007449	236	5	0	Taylor
2624	Texas	US	06/02/2020	32.30163422	-99.89007449	241	5	0	Taylor
2626	Texas	US	06/03/2020	32.30163422	-99.89007449	241	5	0	Taylor
2627	Texas	US	06/04/2020	32.30163422	-99.89007449	242	5	0	Taylor
2630	Texas	US	06/05/2020	32.30163422	-99.89007449	245	5	0	Taylor
2632	Texas	US	06/06/2020	32.30163422	-99.89007449	246	5	0	Taylor
2632	Texas	US	06/07/2020	32.30163422	-99.89007449	246	5	0	Taylor
2632	Texas	US	06/08/2020	32.30163422	-99.89007449	246	5	0	Taylor
2634	Texas	US	06/09/2020	32.30163422	-99.89007449	247	5	0	Taylor
2636	Texas	US	06/10/2020	32.30163422	-99.89007449	248	5	0	Taylor
2638	Texas	US	06/11/2020	32.30163422	-99.89007449	249	5	0	Taylor
2652	Texas	US	06/12/2020	32.30163422	-99.89007449	252	5	0	Taylor
2655	Texas	US	06/13/2020	32.30163422	-99.89007449	252	5	0	Taylor
2655	Texas	US	06/14/2020	32.30163422	-99.89007449	255	5	0	Taylor
2659	Texas	US	06/15/2020	32.30163422	-99.89007449	255	5	0	Taylor
2657	Texas	US	06/16/2020	32.30163422	-99.89007449	255	5	0	Taylor
2659	Texas	US	06/17/2020	32.30163422	-99.89007449	259	5	0	Taylor
2659	Texas	US	06/18/2020	32.30163422	-99.89007449	261	5	0	Taylor
2660	Texas	US	06/19/2020	32.30163422	-99.89007449	268	5	0	Taylor
2664	Texas	US	06/20/2020	32.30163422	-99.89007449	278	5	0	Taylor
2664	Texas	US	06/21/2020	32.30163422	-99.89007449	282	5	0	Taylor
2666	Texas	US	06/22/2020	32.30163422	-99.89007449	289	5	0	Taylor
2670	Texas	US	06/23/2020	32.30163422	-99.89007449	298	5	0	Taylor
2681	Texas	US	06/24/2020	32.30163422	-99.89007449	313	5	0	Taylor
2686	Texas	US	06/25/2020	32.30163422	-99.89007449	318	5	0	Taylor
2687	Texas	US	06/26/2020	32.30163422	-99.89007449	339	5	0	Taylor
2688	Texas	US	06/27/2020	32.30163422	-99.89007449	346	5	0	Taylor
2688	Texas	US	06/28/2020	32.30163422	-99.89007449	346	5	0	Taylor
2690	Texas	US	06/29/2020	32.30163422	-99.89007449	352	5	0	Taylor
2692	Texas	US	06/30/2020	32.30163422	-99.89007449	400	5	0	Taylor
2694	Texas	US	07/01/2020	32.30163422	-99.89007449	423	5	0	Taylor
2696	Texas	US	07/02/2020	32.30163422	-99.89007449	423	5	0	Taylor
2701	Texas	US	07/03/2020	32.30163422	-99.89007449	446	6	0	Taylor
2702	Texas	US	07/04/2020	32.30163422	-99.89007449	494	6	0	Taylor
2703	Texas	US	07/05/2020	32.30163422	-99.89007449	494	6	0	Taylor
2706	Texas	US	07/06/2020	32.30163422	-99.89007449	543	6	0	Taylor
2706	Texas	US	07/07/2020	32.30163422	-99.89007449	573	6	0	Taylor
2709	Texas	US	07/08/2020	32.30163422	-99.89007449	597	6	0	Taylor
2708	Texas	US	07/09/2020	32.30163422	-99.89007449	622	7	0	Taylor
2712	Texas	US	07/10/2020	32.30163422	-99.89007449	654	7	0	Taylor
2713	Texas	US	07/11/2020	32.30163422	-99.89007449	708	7	0	Taylor
2715	Texas	US	07/12/2020	32.30163422	-99.89007449	750	7	0	Taylor
2717	Texas	US	07/13/2020	32.30163422	-99.89007449	1174	7	0	Taylor
2722	Texas	US	07/14/2020	32.30163422	-99.89007449	794	9	0	Taylor
2723	Texas	US	07/15/2020	32.30163422	-99.89007449	815	10	0	Taylor
2725	Texas	US	07/16/2020	32.30163422	-99.89007449	835	11	0	Taylor
2725	Texas	US	07/17/2020	32.30163422	-99.89007449	879	11	0	Taylor
2795	Texas	US	07/18/2020	32.30163422	-99.89007449	891	11	0	Taylor
2795	Texas	US	07/19/2020	32.30163422	-99.89007449	904	11	0	Taylor
2721	Texas	US	07/20/2020	32.30163422	-99.89007449	921	11	0	Taylor
2799	Texas	US	07/21/2020	32.30163422	-99.89007449	947	11	0	Taylor
2800	Texas	US	07/22/2020	32.30163422	-99.89007449	960	13	0	Taylor
2803	Texas	US	07/23/2020	32.30163422	-99.89007449	976	13	0	Taylor
2802	Texas	US	07/24/2020	32.30163422	-99.89007449	986	14	0	Taylor
2803	Texas	US	07/25/2020	32.30163422	-99.89007449	1007	14	0	Taylor
2804	Texas	US	07/26/2020	32.30163422	-99.89007449	1012	14	0	Taylor
2804	Texas	US	07/27/2020	32.30163422	-99.89007449	1019	16	0	Taylor
2804	Texas	US	07/28/2020	32.30163422	-99.89007449	1036	16	0	Taylor
2808	Texas	US	07/29/2020	32.30163422	-99.89007449	1049	17	0	Taylor
2808	Texas	US	07/30/2020	32.30163422	-99.89007449	1068	18	0	Taylor
2810	Texas	US	07/31/2020	32.30163422	-99.89007449	1077	19	0	Taylor
2810	Texas	US	08/01/2020	32.30163422	-99.89007449	1082	19	0	Taylor
2810	Texas	US	08/02/2020	32.30163422	-99.89007449	1082	19	0	Taylor
2810	Texas	US	08/03/2020	32.30163422	-99.89007449	1092	19	0	Taylor
2811	Texas	US	08/04/2020	32.30163422	-99.89007449	1106	21	0	Taylor
2815	Texas	US	08/05/2020	32.30163422	-99.89007449	1106	21	0	Taylor
2815	Texas	US	08/06/2020	32.30163422	-99.89007449	1108	22	0	Taylor
2815	Texas	US	08/07/2020	32.30163422	-99.89007449	1117	22	0	Taylor
2815	Texas	US	08/08/2020	32.30163422	-99.89007449	1126	23	0	Taylor
2815	Texas	US	08/09/2020	32.30163422	-99.89007449	1126	23	0	Taylor
2815	Texas	US	08/10/2020	32.30163422	-99.89007449	1130	23	0	Taylor
3546	Texas	US	08/11/2020	32.30163422	-99.89007449	1130	27	0	Taylor
3500	Texas	US	08/12/2020	32.30163422	-99.89007449	1137	28	0	Taylor
3502	Texas	US	08/13/2020	32.30163422	-99.89007449	1137	28	0	Taylor
3502	Texas	US	08/14/2020	32.30163422	-99.89007449	1145	28	0	Taylor
3502	Texas	US	08/15/2020	32.30163422	-99.89007449	1148	29	0	Taylor
3502	Texas	US	08/16/2020	32.30163422	-99.89007449	1156	29	0	Taylor
3504	Texas	US	08/17/2020	32.30163422	-99.89007449	1158	29	0	Taylor
3504	Texas	US	08/18/2020	32.30163422	-99.89007449	1160	30	0	Taylor
3506	Texas	US	08/19/2020	32.30163422	-99.89007449	1178	30	0	Taylor
3506	Texas	US	08/20/2020	32.30163422	-99.89007449	1199	31	0	Taylor
3506	Texas	US	08/21/2020	32.30163422	-99.89007449	1210	31	0	Taylor
3507	Texas	US	08/22/2020	32.30163422	-99.89007449	1228	32	0	Taylor
3507	Texas	US	08/23/2020	32.30163422	-99.89007449	1243	32	0	Taylor
3507	Texas	US	08/24/2020	32.30163422	-99.89007449	1249	32	0	Taylor
3507	Texas	US	08/25/2020	32.30163422	-99.89007449	1249	33	0	Taylor
3507	Texas	US	08/26/2020	32.30163422	-99.89007449	1254	33	0	Taylor
3507	Texas	US	08/27/2020	32.30163422	-99.89007449	1260	33	0	Taylor
3507	Texas	US	08/28/2020	32.30163422	-99.89007449	1270	33	0	Taylor
3507	Texas	US	08/29/2020	32.30163422	-99.89007449	1306	34	0	Taylor
3507	Texas	US	08/30/2020	32.30163422	-99.89007449	1317	34	0	Taylor
3511	Texas	US	08/31/2020	32.30163422	-99.89007449	1317	34	0	Taylor
3511	Texas	US	09/01/2020	32.30163422	-99.89007449	1317	34	0	Taylor
3511	Texas	US	09/02/2020	32.30163422	-99.89007449	1322	35	0	Taylor
3511	Texas	US	09/03/2020	32.30163422	-99.89007449	1339	35	0	Taylor
3511	Texas	US	09/04/2020	32.30163422	-99.89007449	1342	35	0	Taylor
3511	Texas	US	09/05/2020	32.30163422	-99.89007449	1355	36	0	Taylor
3511	Texas	US	09/06/2020	32.30163422	-99.89007449	1370	37	0	Taylor
3511	Texas	US	09/07/2020	32.30163422	-99.89007449	1370	37	0	Taylor
3511	Texas	US	09/08/2020	32.30163422	-99.89007449	1370	37	0	Taylor
3511	Texas	US	09/09/2020	32.30163422	-99.89007449	1370	39	0	Taylor
3511	Texas	US	09/10/2020	32.30163422	-99.89007449	1370	39	0	Taylor
3511	Texas	US	09/11/2020	32.30163422	-99.89007449	1386	42	0	Taylor
3511	Texas	US	09/12/2020	32.30163422	-99.89007449	1398	43	0	Taylor
3511	Texas	US	09/13/2020	32.30163422	-99.89007449	1405	44	0	Taylor
3511	Texas	US	09/14/2020	32.30163422	-99.89007449	1405	44	0	Taylor
3511	Texas	US	09/15/2020	32.30163422	-99.89007449	1405	44	0	Taylor
3511	Texas	US	09/16/2020	32.30163422	-99.89007449	1406	45	0	Taylor
3511	Texas	US	09/17/2020	32.30163422	-99.89007449	1411	47	0	Taylor
3511	Texas	US	09/18/2020	32.30163422	-99.89007449	1415	47	0	Taylor
3511	Texas	US	09/19/2020	32.30163422	-99.89007449	1437	48	0	Taylor
3511	Texas	US	09/20/2020	32.30163422	-99.89007449	1442	49	0	Taylor
3513	Texas	US	09/21/2020	32.30163422	-99.89007449	1442	49	0	Taylor
3513	Texas	US	09/22/2020	32.30163422	-99.89007449	1442	50	0	Taylor
3513	Texas	US	09/23/2020	32.30163422	-99.89007449	1452	52	0	Taylor
3513	Texas	US	09/24/2020	32.30163422	-99.89007449	1469	54	0	Taylor
3513	Texas	US	09/25/2020	32.30163422	-99.89007449	1475	54	0	Taylor
3513	Texas	US	09/26/2020	32.30163422	-99.89007449	1485	55	0	Taylor
3513	Texas	US	09/27/2020	32.30163422	-99.89007449	1485	55	0	Taylor
3513	Texas	US	09/28/2020	32.30163422	-99.89007449	1485	55	0	Taylor
3513	Texas	US	09/29/2020	32.30163422	-99.89007449	1508	55	0	Taylor
3513	Texas	US	09/30/2020	32.30163422	-99.89007449	1508	56	0	Taylor
3513	Texas	US	10/01/2020	32.30163422	-99.89007449	1525	58	0	Taylor
3513	Texas	US	10/02/2020	32.30163422	-99.89007449	1533	58	0	Taylor
3513	Texas	US	10/03/2020	32.30163422	-99.89007449	1537	58	0	Taylor
3513	Texas	US	10/04/2020	32.30163422	-99.89007449	1537	58	0	Taylor
3513	Texas	US	10/05/2020	32.30163422	-99.89007449	1537	58	0	Taylor
