	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2232	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/22/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/23/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/24/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/25/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/26/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/27/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/28/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/29/2020
697	Custer	0	US	0	41.39374521	-99.72805369	Nebraska	0	03/30/2020
572	Custer	1	US	0	41.39374521	-99.72805369	Nebraska	0	04/06/2020
583	Custer	1	US	0	41.39374521	-99.72805369	Nebraska	0	04/07/2020
588	Custer	3	US	0	41.39374521	-99.72805369	Nebraska	0	04/08/2020
592	Custer	3	US	0	41.39374521	-99.72805369	Nebraska	0	04/09/2020
596	Custer	3	US	0	41.39374521	-99.72805369	Nebraska	0	04/10/2020
601	Custer	13	US	0	41.39374521	-99.72805369	Nebraska	0	04/11/2020
604	Custer	13	US	0	41.39374521	-99.72805369	Nebraska	0	04/12/2020
608	Custer	19	US	0	41.39374521	-99.72805369	Nebraska	0	04/13/2020
610	Custer	19	US	0	41.39374521	-99.72805369	Nebraska	0	04/14/2020
613	Custer	19	US	0	41.39374521	-99.72805369	Nebraska	0	04/15/2020
614	Custer	19	US	0	41.39374521	-99.72805369	Nebraska	0	04/16/2020
616	Custer	19	US	0	41.39374521	-99.72805369	Nebraska	0	04/17/2020
617	Custer	18	US	0	41.39374521	-99.72805369	Nebraska	0	04/18/2020
621	Custer	20	US	0	41.39374521	-99.72805369	Nebraska	0	04/19/2020
622	Custer	20	US	0	41.39374521	-99.72805369	Nebraska	0	04/20/2020
626	Custer	20	US	0	41.39374521	-99.72805369	Nebraska	0	04/21/2020
628	Custer	20	US	0	41.39374521	-99.72805369	Nebraska	0	04/22/2020
631	Custer	20	US	2	41.39374521	-99.72805369	Nebraska	0	04/23/2020
632	Custer	20	US	2	41.39374521	-99.72805369	Nebraska	0	04/24/2020
632	Custer	21	US	2	41.39374521	-99.72805369	Nebraska	0	04/25/2020
633	Custer	22	US	2	41.39374521	-99.72805369	Nebraska	0	04/26/2020
635	Custer	22	US	2	41.39374521	-99.72805369	Nebraska	0	04/27/2020
637	Custer	22	US	2	41.39374521	-99.72805369	Nebraska	0	04/28/2020
637	Custer	22	US	2	41.39374521	-99.72805369	Nebraska	0	04/29/2020
637	Custer	23	US	3	41.39374521	-99.72805369	Nebraska	0	04/30/2020
640	Custer	24	US	3	41.39374521	-99.72805369	Nebraska	0	05/01/2020
641	Custer	25	US	3	41.39374521	-99.72805369	Nebraska	0	05/02/2020
642	Custer	26	US	3	41.39374521	-99.72805369	Nebraska	0	05/03/2020
643	Custer	26	US	3	41.39374521	-99.72805369	Nebraska	0	05/04/2020
647	Custer	26	US	3	41.39374521	-99.72805369	Nebraska	0	05/05/2020
648	Custer	26	US	3	41.39374521	-99.72805369	Nebraska	0	05/06/2020
649	Custer	27	US	3	41.39374521	-99.72805369	Nebraska	0	05/07/2020
652	Custer	27	US	3	41.39374521	-99.72805369	Nebraska	0	05/08/2020
652	Custer	27	US	3	41.39374521	-99.72805369	Nebraska	0	05/09/2020
653	Custer	27	US	3	41.39374521	-99.72805369	Nebraska	0	05/10/2020
653	Custer	27	US	3	41.39374521	-99.72805369	Nebraska	0	05/11/2020
653	Custer	27	US	3	41.39374521	-99.72805369	Nebraska	0	05/12/2020
653	Custer	29	US	3	41.39374521	-99.72805369	Nebraska	0	05/13/2020
654	Custer	29	US	3	41.39374521	-99.72805369	Nebraska	0	05/14/2020
655	Custer	29	US	3	41.39374521	-99.72805369	Nebraska	0	05/15/2020
656	Custer	29	US	3	41.39374521	-99.72805369	Nebraska	0	05/16/2020
657	Custer	29	US	3	41.39374521	-99.72805369	Nebraska	0	05/17/2020
658	Custer	29	US	3	41.39374521	-99.72805369	Nebraska	0	05/18/2020
660	Custer	29	US	3	41.39374521	-99.72805369	Nebraska	0	05/19/2020
661	Custer	28	US	4	41.39374521	-99.72805369	Nebraska	0	05/20/2020
661	Custer	29	US	4	41.39374521	-99.72805369	Nebraska	0	05/21/2020
663	Custer	30	US	4	41.39374521	-99.72805369	Nebraska	0	05/22/2020
663	Custer	30	US	4	41.39374521	-99.72805369	Nebraska	0	05/23/2020
664	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/24/2020
664	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/25/2020
664	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/26/2020
665	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/27/2020
665	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/28/2020
665	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/29/2020
665	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/30/2020
665	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	05/31/2020
666	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	06/01/2020
666	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	06/02/2020
666	Custer	31	US	4	41.39374521	-99.72805369	Nebraska	0	06/03/2020
666	Custer	33	US	4	41.39374521	-99.72805369	Nebraska	0	06/04/2020
668	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/05/2020
668	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/06/2020
668	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/07/2020
668	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/08/2020
668	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/09/2020
669	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/10/2020
670	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/11/2020
672	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/12/2020
673	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/13/2020
673	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/14/2020
674	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/15/2020
674	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/16/2020
674	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/17/2020
674	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/18/2020
674	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/19/2020
677	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/20/2020
677	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/21/2020
677	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/22/2020
677	Custer	34	US	4	41.39374521	-99.72805369	Nebraska	0	06/23/2020
679	Custer	41	US	4	41.39374521	-99.72805369	Nebraska	0	06/24/2020
680	Custer	41	US	4	41.39374521	-99.72805369	Nebraska	0	06/25/2020
680	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	06/26/2020
681	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	06/27/2020
681	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	06/28/2020
681	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	06/29/2020
682	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	06/30/2020
682	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/01/2020
683	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/02/2020
684	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/03/2020
684	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/04/2020
684	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/05/2020
684	Custer	41	US	4	41.39374521	-99.72805369	Nebraska	0	07/06/2020
684	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/07/2020
685	Custer	40	US	3	41.39374521	-99.72805369	Nebraska	0	07/08/2020
685	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/09/2020
686	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/10/2020
686	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/11/2020
686	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/12/2020
686	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/13/2020
686	Custer	40	US	3	41.39374521	-99.72805369	Nebraska	0	07/14/2020
686	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/15/2020
687	Custer	40	US	3	41.39374521	-99.72805369	Nebraska	0	07/16/2020
687	Custer	40	US	4	41.39374521	-99.72805369	Nebraska	0	07/17/2020
