	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
22	New York	US	03/22/2020	42.85145728	-77.30874425	4	0	0	Ontario
2141	New York	US	03/23/2020	42.85145728	-77.30874425	4	0	0	Ontario
2141	New York	US	03/24/2020	42.85145728	-77.30874425	6	0	0	Ontario
2141	New York	US	03/25/2020	42.85145728	-77.30874425	9	0	0	Ontario
2140	New York	US	03/26/2020	42.85145728	-77.30874425	11	0	0	Ontario
2140	New York	US	03/27/2020	42.85145728	-77.30874425	14	0	0	Ontario
2140	New York	US	03/28/2020	42.85145728	-77.30874425	16	0	0	Ontario
2140	New York	US	03/29/2020	42.85145728	-77.30874425	18	0	0	Ontario
2140	New York	US	03/30/2020	42.85145728	-77.30874425	20	0	0	Ontario
1450	New York	US	03/31/2020	42.85145728	-77.30874425	20	0	0	Ontario
1488	New York	US	04/01/2020	42.85145728	-77.30874425	24	0	0	Ontario
1546	New York	US	04/02/2020	42.85145728	-77.30874425	26	0	0	Ontario
1578	New York	US	04/03/2020	42.85145728	-77.30874425	28	0	0	Ontario
1617	New York	US	04/04/2020	42.85145728	-77.30874425	31	0	0	Ontario
1669	New York	US	04/05/2020	42.85145728	-77.30874425	32	0	0	Ontario
1695	New York	US	04/06/2020	42.85145728	-77.30874425	32	0	0	Ontario
1732	New York	US	04/07/2020	42.85145728	-77.30874425	33	0	0	Ontario
1748	New York	US	04/08/2020	42.85145728	-77.30874425	39	0	0	Ontario
1768	New York	US	04/09/2020	42.85145728	-77.30874425	43	0	0	Ontario
1781	New York	US	04/10/2020	42.85145728	-77.30874425	51	0	0	Ontario
1799	New York	US	04/11/2020	42.85145728	-77.30874425	56	0	0	Ontario
1812	New York	US	04/12/2020	42.85145728	-77.30874425	57	0	0	Ontario
1826	New York	US	04/13/2020	42.85145728	-77.30874425	57	0	0	Ontario
1833	New York	US	04/14/2020	42.85145728	-77.30874425	61	0	0	Ontario
